abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included,value_cost
M1000786,,DEFAULT,DE,EUR,5985,6650,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4655
M1000786,,DEFAULT,DE,EUR,4725,5250,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3675
M1000786,,DEFAULT,DE,EUR,2363,2625,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1837
M1000838,,DEFAULT,DE,CHF,33923,37691,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,26384
M1000838,,DEFAULT,DE,CHF,26781,29756,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,20829
M1000838,,DEFAULT,DE,CHF,13391,14878,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10415
M1000838,,DEFAULT,DE,EUR,29498,32775,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22942
M1000838,,DEFAULT,DE,EUR,23288,25875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18112
M1000838,,DEFAULT,DE,EUR,11644,12938,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9057
M1000839,,DEFAULT,DE,CHF,33923,37691,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,26384
M1000839,,DEFAULT,DE,CHF,26781,29756,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,20829
M1000839,,DEFAULT,DE,CHF,13391,14878,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10415
M1000839,,DEFAULT,DE,EUR,29498,32775,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22942
M1000839,,DEFAULT,DE,EUR,23288,25875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18112
M1000839,,DEFAULT,DE,EUR,11644,12938,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9057
M1000840,,DEFAULT,DE,CHF,33923,37691,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,26384
M1000840,,DEFAULT,DE,CHF,26781,29756,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,20829
M1000840,,DEFAULT,DE,CHF,13391,14878,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10415
M1000840,,DEFAULT,DE,EUR,29498,32775,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22942
M1000840,,DEFAULT,DE,EUR,23288,25875,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18112
M1000840,,DEFAULT,DE,EUR,11644,12938,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9057
M1002203,,DEFAULT,DE,CHF,9832,10924,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7647
M1002203,,DEFAULT,DE,CHF,7762,8624,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6037
M1002203,,DEFAULT,DE,CHF,3881,4312,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3018
M1002203,,DEFAULT,DE,EUR,8549,9499,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6649
M1002203,,DEFAULT,DE,EUR,6749,7499,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5249
M1002203,,DEFAULT,DE,EUR,3375,3750,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2625
M1006484,,DEFAULT,DE,CHF,34020,37801,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,26461
M1006484,,DEFAULT,DE,CHF,26858,29843,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,20890
M1006484,,DEFAULT,DE,CHF,13429,14922,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10445
M1006484,,DEFAULT,DE,EUR,29583,32870,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,23009
M1006484,,DEFAULT,DE,EUR,23355,25950,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18165
M1006484,,DEFAULT,DE,EUR,11678,12975,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9082
M1006811,,DEFAULT,DE,CHF,35987,39986,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,27990
M1006811,,DEFAULT,DE,CHF,28411,31568,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22098
M1006811,,DEFAULT,DE,CHF,14206,15784,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,11049
M1006811,,DEFAULT,DE,EUR,31293,34770,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,24339
M1006811,,DEFAULT,DE,EUR,24705,27450,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,19215
M1006811,,DEFAULT,DE,EUR,12353,13725,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9608
M1013168,,DEFAULT,DE,CHF,35987,39986,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,27990
M1013168,,DEFAULT,DE,CHF,28411,31568,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22098
M1013168,,DEFAULT,DE,CHF,14206,15784,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,11049
M1013168,,DEFAULT,DE,EUR,31293,34770,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,24339
M1013168,,DEFAULT,DE,EUR,24705,27450,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,19215
M1013168,,DEFAULT,DE,EUR,12353,13725,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9608
M1013287,,DEFAULT,DE,CHF,5603,6226,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4358
M1013287,,DEFAULT,DE,CHF,4424,4916,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3441
M1013287,,DEFAULT,DE,CHF,2212,2458,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1721
M1013287,,DEFAULT,DE,EUR,4873,5414,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3790
M1013287,,DEFAULT,DE,EUR,3847,4274,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2992
M1013287,,DEFAULT,DE,EUR,1924,2137,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1496
M1013541,,DEFAULT,DE,CHF,4502,5003,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3502
M1013541,,DEFAULT,DE,CHF,3554,3950,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2765
M1013541,,DEFAULT,DE,CHF,1777,1975,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1382
M1013541,,DEFAULT,DE,EUR,3915,4350,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3045
M1013541,,DEFAULT,DE,EUR,3091,3434,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2404
M1013541,,DEFAULT,DE,EUR,1546,1717,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1202
M1014496,,DEFAULT,DE,CHF,5900,6555,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4588
M1014496,,DEFAULT,DE,CHF,4658,5175,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3622
M1014496,,DEFAULT,DE,CHF,2329,2588,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1812
M1014496,,DEFAULT,DE,EUR,5130,5700,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3990
M1014496,,DEFAULT,DE,EUR,4050,4500,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3150
M1014496,,DEFAULT,DE,EUR,2025,2250,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1575
M1014502,,DEFAULT,DE,CHF,12220,13577,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,9504
M1014502,,DEFAULT,DE,CHF,9647,10719,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7503
M1014502,,DEFAULT,DE,CHF,4824,5360,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3752
M1014502,,DEFAULT,DE,EUR,10626,11807,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,8265
M1014502,,DEFAULT,DE,EUR,8389,9321,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6525
M1014502,,DEFAULT,DE,EUR,4195,4661,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3263
,100107,DEFAULT,DE,CHF,11799,13110,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,9177
,100107,DEFAULT,DE,CHF,9315,10350,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7245
,100107,DEFAULT,DE,CHF,4658,5175,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3622
,1001454,DEFAULT,DE,CHF,12291,13656,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,9559
,1001454,DEFAULT,DE,CHF,9704,10781,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7547
,1001454,DEFAULT,DE,CHF,4852,5391,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3774
,100223,DEFAULT,DE,CHF,12586,13984,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,9789
,100223,DEFAULT,DE,CHF,9936,11040,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7728
,100223,DEFAULT,DE,CHF,4968,5520,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3864
,100266,DEFAULT,DE,CHF,8751,9723,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6806
,100266,DEFAULT,DE,CHF,6909,7676,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5373
,100266,DEFAULT,DE,CHF,3455,3838,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2687
,100288,DEFAULT,DE,CHF,10325,11471,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,8030
,100288,DEFAULT,DE,CHF,8151,9056,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6339
,100288,DEFAULT,DE,CHF,4076,4528,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3170
,100414,DEFAULT,DE,CHF,8358,9286,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6500
,100414,DEFAULT,DE,CHF,6599,7331,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5132
,100414,DEFAULT,DE,CHF,3300,3666,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2566
,100429,DEFAULT,DE,CHF,34842,38713,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,27099
,100429,DEFAULT,DE,CHF,27507,30563,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21394
,100429,DEFAULT,DE,CHF,13754,15282,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10697
,100430,DEFAULT,DE,CHF,3396,3773,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2641
,100430,DEFAULT,DE,CHF,2681,2979,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2085
,100430,DEFAULT,DE,CHF,1341,1490,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1043
,100588,DEFAULT,DE,CHF,42237,46931,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,32852
,100588,DEFAULT,DE,CHF,33345,37051,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,25936
,100588,DEFAULT,DE,CHF,16673,18526,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,12968
,100666,DEFAULT,DE,CHF,20837,23152,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,16206
,100666,DEFAULT,DE,CHF,16451,18278,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,12795
,100666,DEFAULT,DE,CHF,8226,9139,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,6397
,100682,DEFAULT,DE,CHF,36732,40814,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,28570
,100682,DEFAULT,DE,CHF,28999,32222,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22555
,100682,DEFAULT,DE,CHF,14500,16111,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,11278
,100683,DEFAULT,DE,CHF,43443,48269,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,33788
,100683,DEFAULT,DE,CHF,34297,38107,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,26675
,100683,DEFAULT,DE,CHF,17149,19054,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,13338
,100907,DEFAULT,DE,CHF,7305,8116,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5681
,100907,DEFAULT,DE,CHF,5767,6407,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4485
,100907,DEFAULT,DE,CHF,2884,3204,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2243
,100949,DEFAULT,DE,CHF,39143,43493,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,30445
,100949,DEFAULT,DE,CHF,30902,34337,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,24036
,100949,DEFAULT,DE,CHF,15451,17169,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,12018
,100999,DEFAULT,DE,CHF,41136,45707,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,31995
,100999,DEFAULT,DE,CHF,32476,36085,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,25260
,100999,DEFAULT,DE,CHF,16238,18043,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,12630
