key,translation,locale
page.checkout.address.delivery.address_select,Wybierz adres dostawy,pl_PL
page.checkout.address.multi_shipment.title,Przypisz każdemu produktowi własny adres dostawy,pl_PL
page.checkout.address.billing.address_select,Wybierz adres rozliczeniowy,pl_PL
page.checkout.address.manage_your_addresses,Zarządzaj swoimi adresami,pl_PL
page.checkout.address.address_select.label,Wybierz adres dostawy,pl_PL
page.checkout.address.address_select.placeholder,Wybierz adres,pl_PL
page.checkout.shipment.heading,2. Metoda dostawy,pl_PL
page.checkout.shipment.shipping_method_heading,Metoda dostawy,pl_PL
page.checkout.shipment.shipment_group_heading,Przesyłka %current% z %total%,pl_PL
shipment.standart.name,Standardowy,pl_PL
shipment.express.name,Ekspres,pl_PL
shipment.standart.description,2-4 dni robocze,pl_PL
page.checkout.shipping.delivery_time,Czas dostawy:,pl_PL
page.checkout.shipping.day,dzień,pl_PL
page.checkout.shipping.days,dni,pl_PL
page.checkout.shipping.price,Cena:,pl_PL
shipment.express.description,24-48 godzin (dni robocze),pl_PL
page.checkout.shipment.edit,edytuj metodę dostawy,pl_PL
page.checkout.shipment.next-step,Przejdź do metody płatności,pl_PL
page.checkout.shipment.item.quantity,Kwota,pl_PL
page.checkout.shipment.item.price,Cena,pl_PL
page.checkout.shipment.shipping_address.title,Adres dostawy,pl_PL
page.checkout.shipment.requested_delivery_date.label,Żądana data dostawy,pl_PL
page.checkout.shipment.requested_delivery_date.placeholder,"Pozostaw puste, jeśli chcesz otrzymać jak najszybciej",pl_PL
page.checkout.shipment.requested_delivery_date.title,Kiedy chcesz otrzymać dostawę?,pl_PL
page.checkout.shipping.delivery_time,Czas dostawy,pl_PL
page.checkout.payment.heading,3. Metoda płatności,pl_PL
page.checkout.payment.title,Metoda płatności,pl_PL
page.checkout.payment.edit,edytuj metodę płatności,pl_PL
page.checkout.payment.next-step,Przejdź do złożenia zamówienia,pl_PL
page.checkout.summary.billing,Adres do faktury,pl_PL
page.checkout.summary.shipping,Adres dostawy,pl_PL
page.checkout.summary.date_of_birth,Data urodzenia,pl_PL
page.checkout.summary.card_type,Typ karty,pl_PL
page.checkout.summary.card_number,Numer karty,pl_PL
page.checkout.summary.name_on_card,Imię i nazwisko na karcie,pl_PL
page.checkout.summary.card_expires,Data ważności,pl_PL
page.checkout.summary.complete_checkout,Zakończ zamówienie,pl_PL
page.checkout.summary.accept_terms_and_conditions,Akceptuję regulamin,pl_PL
page.checkout.finalize.heading,4. Sprawdź i złóż zamówienie,pl_PL
shipment.international.parcel.service,Międzynarodowe usługi paczkowe,pl_PL
page.checkout.terms,Akceptuję ogólne warunki handlowe.,pl_PL
page.checkout.finalize.enter-voucher,Wpisz kod rabatowy,pl_PL
page.checkout.finalize.tos,"Klikając przycisk ""Kup teraz"", potwierdzam ogólne warunki handlowe.",pl_PL
page.checkout.finalize.buy-now,Kup teraz,pl_PL
page.detail.add-to-cart,Dodaj do koszyka,pl_PL
page.detail.dimensions,Wymiary,pl_PL
page.product.by,przez,pl_PL
page.product.details,Szczegóły,pl_PL
page.imprint.url,/en/imprint,pl_PL
page.imprint.title,Nota prawna,pl_PL
page.terms.url,/en/gtc,pl_PL
page.terms.title,GTC,pl_PL
page.privacy.url,/en/privacy,pl_PL
page.privacy.title,Ochrona danych,pl_PL
catalog.currency,€,pl_PL
catalog.filter.button,Filtruj,pl_PL
catalog.filter.and.sorting.button,Filtry,pl_PL
catalog.filter.active,Aktywny filtr,pl_PL
catalog.filter.main_color,Kolor,pl_PL
catalog.filter.extras,Inne cechy,pl_PL
catalog.filter.pricerangeFrom,od,pl_PL
catalog.filter.pricerangeTo,do,pl_PL
catalog.filter.rangeFrom,Zakres,pl_PL
catalog.filter.rangeTo,do,pl_PL
catalog.filter.show,dodaj filtr,pl_PL
catalog.filter.hide,ukryj filtr,pl_PL
catalog.filter.per,Na stronę,pl_PL
catalog.filter.sort,Sortuj według,pl_PL
catalog.filter.rating_up,i więcej,pl_PL
catalog.filter.active_rating_up,Gwiazdek i więcej,pl_PL
catalog.itemsFound,Znalezione pozycje,pl_PL
catalog.loading,Ładowanie,pl_PL
catalog.next,kontynuuj,pl_PL
catalog.prev,wstecz,pl_PL
catalog.sort,Sortowanie,pl_PL
catalog.sort.relevance,Sortuj po trafności,pl_PL
catalog.sort.name_asc,Sortuj po nazwie rosnąco,pl_PL
catalog.sort.name_desc,Sortuj po nazwie malejąco,pl_PL
catalog.sort.price_asc,Sortuj po cenie rosnąco,pl_PL
catalog.sort.price_desc,Sortuj po cenie malejąco,pl_PL
catalog.sort.rating,Sortuj po ocenach produktów,pl_PL
catalog.filter.activeFilters,Aktywne filtry,pl_PL
catalog.filter.resetAllFilters,Zresetuj wszystkie filtry,pl_PL
catalog.no-results,Brak wyników.,pl_PL
product.filter.category,Kategorie,pl_PL
product.filter.price,Zakres cen,pl_PL
product.filter.rating,Oceny produktu,pl_PL
shipment.dhl,DHL,pl_PL
shipment.dhl.paket.name,Paczka,pl_PL
shipment.dhl.paket.description,"DHL Paket to prosta, tania, szybka i niezawodna usługa wysyłkowa do ponad 220 krajów na całym świecie.",pl_PL
shipment.dhl.express.name,Ekspres,pl_PL
shipment.dhl.express.description,Nasza kadra 100 000 zaangażowanych pracowników działa na całym świecie. Lokalna wiedza i nasza wyjątkowa sieć czynią z nas Twoich międzynarodowych specjalistów.,pl_PL
shipment.dpd,DPD,pl_PL
shipment.hermes,Hermes,pl_PL
customer.first_name,Imię,pl_PL
customer.last_name,Nazwa,pl_PL
customer.salutation.mr,Pan,pl_PL
customer.salutation.mrs,Pani,pl_PL
customer.salutation.ms,Pani,pl_PL
customer.salutation.dr,Dr,pl_PL
customer.birth_date,Data urodzenia (DD.MM.RRRR),pl_PL
customer.email,E-Mail,pl_PL
customer.phone,Numer telefonu,pl_PL
customer.reset.password.error.already.loggedIn,"Inny klient jest już zalogowany. Wyloguj się, aby zresetować hasło.",pl_PL
payment.prepay,Przedpłata,pl_PL
payment.paypal,PayPal,pl_PL
payment.creditcard,Karta kredytowa,pl_PL
payment.invoice,Faktura,pl_PL
payment.cancellation.title,Anulowanie płatności,pl_PL
payment.cancellation.message,Anulowałeś swoją płatność.,pl_PL
address.street,Ulica,pl_PL
address.street_nr,Numer,pl_PL
address.city,Miasto,pl_PL
address.zip_code,Kod pocztowy,pl_PL
page.checkout.create_account,Utwórz konto klienta,pl_PL
whishlist.whishlist,Lista życzeń,pl_PL
whishlist.remove,Usuń,pl_PL
whishlist.reduce,Zmniejsz,pl_PL
whishlist.increase,Zwiększ,pl_PL
whishlist.move.to.cart,Przenieś do koszyka,pl_PL
checkout.thank.you,Dziękujemy,pl_PL
checkout.this.is.demoshop,To jest sklep demonstracyjny,pl_PL
checkout.nothing.will.be.sent,Dlatego oczywiście nic nie zostanie wysłane!,pl_PL
global.skip-to-navigation,Przejdź do nawigacji,pl_PL
global.skip-to-products,Przejdź do produktów,pl_PL
global.skip-to-content,Przejdź do treści,pl_PL
global.order.ascendent,A-Z,pl_PL
global.show_more,Pokaż więcej,pl_PL
global.account,Konto,pl_PL
global.order.descendent,Z-A,pl_PL
global.close,Zamknij,pl_PL
global.search,Szukaj,pl_PL
global.search.results,Wyniki dla,pl_PL
global.search.results.no_query,Wyniki wyszukiwania,pl_PL
global.search.spellingSuggestion,Czy chodziło Ci o,pl_PL
global.search.suggestions,Sugestie wyszukiwania,pl_PL
global.search.suggestion.in_products,Produkty,pl_PL
global.search.suggestion.in_categories,Kategorie,pl_PL
global.search.suggestion.in_cms,Strony,pl_PL
global.search.suggestion.no_result,Nic nie znaleziono...,pl_PL
global.search.suggestion.see_all_products,Zobacz wszystkie produkty,pl_PL
global.benefit.free_returns,Darmowe zwroty,pl_PL
global.benefit.warranty,3 lata gwarancji,pl_PL
global.benefit.competitive_prices,Konkurencyjne ceny,pl_PL
global.spryker.shop,Spryker Shop,pl_PL
global.spryker.motto,technologia z jakością,pl_PL
global.payment_providers,Dostawcy płatności,pl_PL
global.shipment_providers,Dostawcy przesyłek,pl_PL
global.get_in_touch,Skontaktuj się z nami,pl_PL
global.social,Media społecznościowe,pl_PL
global.home,Strona główna,pl_PL
global.email.address,Adres e-mail,pl_PL
global.password,Hasło,pl_PL
global.password.invalid_password,"Twoje hasło musi zawierać co najmniej jedną wielką literę, jedną małą literę, jedną cyfrę i jeden znak specjalny z następującej listy: !@#$%^&*()_-+=[]{}|;:<>.,/?\~. Znaki niełacińskie i inne znaki specjalne nie są dozwolone.",pl_PL
global.permission.failed,Ta akcja jest zabroniona,pl_PL
global.recover.password,Odzyskaj hasło,pl_PL
global.accept.terms.and.conditions,Zaakceptuj regulamin,pl_PL
global.login,Zaloguj się,pl_PL
global.create.account,Utwórz konto,pl_PL
global.cart,Koszyk,pl_PL
global.my-cart,Mój koszyk,pl_PL
global.no_image_available,Brak dostępnego zdjęcia,pl_PL
global.add-to-cart,Dodaj do koszyka,pl_PL
global.subscribe.title,Wyselekcjonowane analizy dla handlu cyfrowego,pl_PL
global.payment_shipping,Akceptowane metody płatności i dostawy,pl_PL
global.top_categories,Główne kategorie,pl_PL
global.popular_brands,Popularne marki,pl_PL
global.about,O nas,pl_PL
global.contact_us,Kontakt,pl_PL
global.hint,"Wszystkie ceny bez kosztów dostawy i obsługi, o ile nie podano inaczej.",pl_PL
global.thank_certeo,Wielkie podziękowania dla naszych przyjaciół z Certeo.,pl_PL
global.privacy_nav.imprint,Nota prawna,pl_PL
global.privacy_nav.imprint_url,https://spryker.com/imprint/,pl_PL
global.privacy_nav.data_privacy,Ochrona danych,pl_PL
global.privacy_nav.data_privacy_url,https://spryker.com/privacy-policy/,pl_PL
global.build_with,Zbuduj z,pl_PL
global.build_with.link,https://spryker.com/,pl_PL
global.phone.number,+49 (0) 30 208 498 350,pl_PL
global.email.text,info@spryker.com,pl_PL
global.select.placeholder.value,Wybierz wartość,pl_PL
global.show,Pokaż,pl_PL
global.hide,Ukryj,pl_PL
global.cancel,Anuluj,pl_PL
global.keep,Zachowaj,pl_PL
error.404,Błąd 404,pl_PL
homepage.carousel.previous,Poprzednia,pl_PL
homepage.carousel.next,Dalej,pl_PL
customer.signup,Nowy klient?,pl_PL
customer.signin,Zaloguj się,pl_PL
customer.logout,Wyloguj się,pl_PL
customer.register,Zarejestruj się,pl_PL
customer.login,Zaloguj się,pl_PL
customer.please_login,Zaloguj się,pl_PL
customer.login.email,E-mail,pl_PL
customer.login.password,Hasło,pl_PL
customer.login.title,Uzyskaj dostęp do swojego konta,pl_PL
customer.login.welcome_back,Witaj ponownie,pl_PL
customer.login.subtitle,"Zaloguj się, aby zarządzać zamówieniami i kontem",pl_PL
customer.login.submit,Zaloguj się,pl_PL
customer.login.terms,Warunki,pl_PL
customer.login.error,Wprowadzony adres e-mail lub hasło są nieprawidłowe.,pl_PL
customer.login.continue_as_guest,Kontynuuj jako gość,pl_PL
customer.registration.title,Utwórz konto,pl_PL
customer.account.no_order,Brak zamówień w tej chwili,pl_PL
customer.account,Konto klienta,pl_PL
customer.account.contact,Kontakt,pl_PL
customer.account.overview,Przegląd,pl_PL
customer.account.profile_data,Profil,pl_PL
customer.account.address,Adresy,pl_PL
customer.account.address.no-addresses,Nie dodano jeszcze żadnych adresów!,pl_PL
customer.account.address.no-addresses-description,"Tutaj znajdziesz swoje adresy i będziesz nimi zarządzać, gdy będą dostępne.",pl_PL
customer.account.order_history,Historia zamówień,pl_PL
customer.account.button.search_filters,Szukaj i filtruj,pl_PL
customer.account.newsletter,Newsletter,pl_PL
customer.account.last_orders,Ostatnie zamówienia,pl_PL
customer.account.default_billing_address,Domyślny adres rozliczeniowy,pl_PL
customer.account.please_specify_billing_address,Podaj adres rozliczeniowy,pl_PL
customer.account.default_shipping_address,Domyślny adres dostawy,pl_PL
customer.account.default_address,Adres,pl_PL
customer.account.default_both_addresses,Adres domyślny,pl_PL
customer.account.please_specify_shipping_address,Podaj adres dostawy,pl_PL
customer.account.edit_address_information,Edytuj dane adresowe,pl_PL
customer.account.additional_addresses,Dodatkowe adresy,pl_PL
customer.account.button.add_new_address,Dodaj nowy adres,pl_PL
customer.account.add_new_address,Zdefiniuj nowy adres,pl_PL
customer.account.deliver_to_multiple_addresses,Dostawa na wiele adresów,pl_PL
customer.account.delete.error,Nie można usunąć konta,pl_PL
customer.newsletter.not_subscribed,Brak subskrypcji newslettera,pl_PL
customer.profile.order_history,Ostatnie zamówienia,pl_PL
customer.account.no_orders,Brak zamówień w tej chwili,pl_PL
customer.address.updated,Adres został pomyślnie zaktualizowany,pl_PL
customer.address.delete.success,Adres został pomyślnie usunięty,pl_PL
customer.address.added,Adres został pomyślnie dodany,pl_PL
customer.address.first_name,Imię,pl_PL
customer.address.last_name,Nazwisko,pl_PL
customer.address.company,Firma,pl_PL
customer.address.address1,Ulica,pl_PL
customer.address.address2,Numer,pl_PL
customer.address.address3,Uzupełnienie adresu,pl_PL
customer.address.zip_code,Kod pocztowy,pl_PL
customer.address.city,Miasto,pl_PL
customer.address.country,Kraj,pl_PL
customer.address.phone,Telefon,pl_PL
customer.address.is_default_billing,Domyślny adres rozliczeniowy,pl_PL
customer.address.is_default_shipping,Domyślny adres dostawy,pl_PL
customer.anonymization.success,Twoje konto zostało pomyślnie usunięte,pl_PL
customer.anonymization.failed,Nie udało się usunąć Twojego konta,pl_PL
customer.authorization.success,"Już prawie! Wysłaliśmy Ci e-mail w celu weryfikacji adresu e-mail. Potwierdź go, aby móc się zalogować.",pl_PL
customer.authorization.account_confirmed,"Twój adres e-mail został zweryfikowany. Zaloguj się, aby kontynuować.",pl_PL
customer.error.confirm_email_link.invalid_or_used,Ten link weryfikacyjny jest nieprawidłowy lub został już użyty.,pl_PL
customer.authorization.validate_email_address,"Już prawie! Wysłaliśmy Ci e-mail w celu weryfikacji adresu e-mail. Potwierdź go, aby móc się zalogować.",pl_PL
customer.profile.change.success,Profil został pomyślnie zapisany,pl_PL
customer.password.invalid_password,Bieżące hasło jest nieprawidłowe,pl_PL
customer.password.invalid,Hasło jest nieprawidłowe,pl_PL
customer.password.changed,Twoje hasło zostało pomyślnie zmienione,pl_PL
customer.token.invalid,Token jest nieprawidłowy,pl_PL
customer.forgotten-password.description,Podaj adres e-mail powiązany z Twoim kontem.,pl_PL
customer.forgotten_password.email,Adres e-mail,pl_PL
customer.forgotten-password.title,Odzyskaj moje hasło,pl_PL
customer.recovery.request.title,Nie pamiętasz hasła?,pl_PL
customer.recovery.request.subtitle,"Podaj swój służbowy adres e-mail, a wyślemy Ci link do zresetowania hasła.",pl_PL
customer.recovery.email_label,Służbowy adres e-mail,pl_PL
customer.recovery.request.submit,Wyślij link do zresetowania,pl_PL
customer.recovery.back_to_sign_in,Powrót do logowania,pl_PL
customer.recovery.sent.title,Sprawdź swoją skrzynkę e-mail,pl_PL
customer.recovery.sent.text,"Jeśli istnieje konto dla %email%, wysłaliśmy link do zresetowania hasła.",pl_PL
customer.recovery.sent.resend,Wyślij e-mail ponownie,pl_PL
customer.recovery.reset.title,Ustaw nowe hasło,pl_PL
customer.recovery.reset.subtitle,Twoje nowe hasło musi różnić się od wcześniej używanych haseł.,pl_PL
customer.recovery.reset.new_label,Nowe hasło,pl_PL
customer.recovery.reset.confirm_label,Potwierdź hasło,pl_PL
customer.recovery.reset.hint,"Co najmniej 8 znaków, w tym cyfra i wielka litera.",pl_PL
customer.recovery.reset.submit,Zapisz hasło,pl_PL
customer.recovery.success.title,Hasło zaktualizowane,pl_PL
customer.recovery.success.text,Twoje hasło zostało pomyślnie zmienione. Możesz teraz zalogować się nowym hasłem.,pl_PL
customer.order.order_id,ID zamówienia,pl_PL
customer.order.view_all,Zobacz wszystko,pl_PL
customer.order.all_orders,Zobacz zamówienia,pl_PL
customer.order.total,Suma,pl_PL
customer.order.view_order,Zobacz zamówienie,pl_PL
customer.order.reorder,Zamów ponownie,pl_PL
customer.order.reorder_all,Zamów ponownie wszystko,pl_PL
customer.order.reorder_selected,Zamów ponownie wybrane pozycje,pl_PL
customer.order.reorder.error.unable_to_reorder_items,"Nie możesz zamówić tych produktów ponownie bezpośrednio, dodaj je do koszyka osobno",pl_PL
customer.order.date,Data,pl_PL
customer.order.item_sku,SKU,pl_PL
customer.order.product_name,Nazwa produktu,pl_PL
customer.order.item_price,Cena,pl_PL
customer.order.item_quantity,Ilość,pl_PL
customer.order.item_sum,Suma pozycji,pl_PL
customer.order.item_amount,Kwota,pl_PL
customer.order.subTotal,Suma częściowa,pl_PL
customer.order.taxTotal,Podatek,pl_PL
customer.order.expenseTotal,Koszty dostawy (razem),pl_PL
customer.order.shipment,Przesyłka,pl_PL
customer.order.discount.total,Rabat,pl_PL
customer.order.grandTotal,Suma całkowita,pl_PL
customer.order.shipping_address,Adres dostawy,pl_PL
customer.order.billing_address,Adres rozliczeniowy,pl_PL
customer.order.shipment_method,Przesyłka,pl_PL
customer.order.payment_method,Metoda płatności,pl_PL
customer.order.products,Produkty,pl_PL
customer.order.payment,Płatność,pl_PL
customer.order.complete_checkout,Zakończ zamówienie,pl_PL
customer.order.item,Pozycja,pl_PL
customer.order.items,Pozycje,pl_PL
customer.order.items_state,Stan pozycji,pl_PL
customer.order.no_orders,Brak dostępnej historii zamówień!,pl_PL
customer.order.no_orders_description,"Tutaj znajdziesz historię zamówień i będziesz nią zarządzać, gdy będzie dostępna.",pl_PL
customer.order.item_options,Opcje pozycji,pl_PL
customer.order.overview,Przegląd,pl_PL
customer.order.summary.items,Pozycje,pl_PL
customer.order.summary.discounts,Rabaty,pl_PL
customer.newsletter.subscription,Ustawienia newslettera,pl_PL
customer.newsletter.subscription_agreement,Zgadzam się na subskrypcję newslettera,pl_PL
customer.newsletter.text,"Otrzymuj informacje o innowacjach produktowych, zmianach na rynku i strategii handlu cyfrowego.",pl_PL
customer.newsletter.subtitle,NEWSLETTER,pl_PL
customer.newsletter.hint,W każdej chwili możesz zrezygnować z subskrypcji.,pl_PL
customer.profile,Moje konto,pl_PL
customer.profile.update,Zaktualizuj profil,pl_PL
customer.profile.delete,Usuń konto,pl_PL
customer.profile.delete.description,Spowoduje to usunięcie wszystkich informacji o koncie.,pl_PL
customer.profile.delete.confirmation_question,Czy na pewno chcesz usunąć swoje konto?,pl_PL
customer.profile.first_name,Imię,pl_PL
customer.profile.last_name,Nazwisko,pl_PL
customer.profile.email,E-mail,pl_PL
customer.profile.phone,Telefon,pl_PL
customer.profile.old_password,Stare hasło,pl_PL
customer.profile.request.new_password,Nowe hasło,pl_PL
customer.profile.confirm.new_password,Potwierdź nowe hasło,pl_PL
customer.profile.address.edit,Edytuj,pl_PL
customer.profile.address.delete,Usuń,pl_PL
customer.profile.order_details,Szczegóły zamówienia,pl_PL
customer.password.update,Zmień hasło,pl_PL
customer.password.old_password,Stare hasło,pl_PL
customer.password.request.new_password,Nowe hasło,pl_PL
customer.password.confirm.new_password,Potwierdź hasło,pl_PL
customer.table.actions,Akcje,pl_PL
profile.form.salutation,Forma grzecznościowa,pl_PL
customer.salutation.dr,Dr,pl_PL
customer.salutation.n/a,nd.,pl_PL
customer.customer_id,ID,pl_PL
forms.submit-btn,Wyślij,pl_PL
forms.save-btn,Zapisz,pl_PL
forms.submit.login,Zaloguj się,pl_PL
forms.submit.register,Zarejestruj się,pl_PL
forms.forgot-password,Nie pamiętam hasła,pl_PL
forms.first-name,Imię,pl_PL
forms.last-name,Nazwisko,pl_PL
forms.email,E-mail,pl_PL
forms.password,Hasło,pl_PL
forms.confirm-password,Potwierdź hasło,pl_PL
forms.accept_terms,Zaakceptuj warunki,pl_PL
address.salutation,Forma grzecznościowa,pl_PL
email.orderEmail.salutationMale,Pan,pl_PL
email.orderEmail.salutationFemale,Pani,pl_PL
mail.trans.customerRegistration.confirmationLink,Zweryfikuj swój adres e-mail,pl_PL
customer.login.failed,Logowanie nie udało się,pl_PL
customer.email.already.used,"Jeśli ten adres e-mail jest już używany, otrzymasz link do zresetowania hasła. W przeciwnym razie musisz najpierw zweryfikować swój adres e-mail, aby zakończyć rejestrację. Sprawdź swoją skrzynkę e-mail.",pl_PL
customer.data_change_request.email_change.success,Twój adres e-mail został pomyślnie zmieniony.,pl_PL
customer.data_change_request.email_change.requested,"Poprosiłeś o zmianę swojego adresu e-mail na `%newEmail%`. Potwierdź ją, klikając link weryfikacyjny wysłany na ten adres. Link jest ważny %minutes% minut.",pl_PL
customer.data_change_request.invalid,Nie znaleziono prawidłowego żądania zmiany danych.,pl_PL
general.back.button,Wstecz,pl_PL
general.cancel.button,Anuluj,pl_PL
general.edit.button,Edytuj,pl_PL
general.required_fields.text,*Pola wymagane,pl_PL
newsletter.subscription.success,Pomyślnie zapisałeś się do newslettera,pl_PL
newsletter.unsubscription.success,Pomyślnie wypisałeś się z newslettera,pl_PL
newsletter.subscription.already_subscribed,Jesteś już zapisany do newslettera,pl_PL
newsletter.subscription.email_format_invalid,Nieprawidłowy format adresu e-mail,pl_PL
customer.authentication.failed,"Sprawdź, czy Twój adres e-mail i hasło są poprawne oraz czy potwierdziłeś swój adres e-mail, klikając link w wiadomości rejestracyjnej",pl_PL
customer.email.invalid,Adres e-mail jest nieprawidłowy,pl_PL
customer.email.format.invalid,Nieprawidłowy format adresu e-mail,pl_PL
customer.password.recovery.mail.sent,"Jeśli z tym adresem e-mail powiązane jest konto, otrzymasz wiadomość z dalszymi instrukcjami",pl_PL
customer.address.number,Numer,pl_PL
customer.address.save_new_address,Zapisz nowy adres w książce adresowej,pl_PL
countries.iso.AT,Austria,pl_PL
countries.iso.DE,Niemcy,pl_PL
countries.iso.NO,Norwegia,pl_PL
countries.iso.CH,Szwajcaria,pl_PL
countries.iso.ES,Hiszpania,pl_PL
countries.iso.GB,Wielka Brytania,pl_PL
countries.iso.US,Stany Zjednoczone,pl_PL
customer.billingSameAsShipping,Adres rozliczeniowy taki sam jak adres dostawy,pl_PL
checkout.customer.proceed_as_user,Kontynuuj jako zarejestrowany użytkownik (zarejestruj się),pl_PL
checkout.customer.proceed_as_guest,Kontynuuj jako gość,pl_PL
checkout.customer.order_as_guest,Zamów jako gość,pl_PL
checkout.step.customer.title,Zaloguj się,pl_PL
checkout.step.address.title,Adres,pl_PL
checkout.step.shipment.title,Dostawa,pl_PL
checkout.step.payment.title,Płatność,pl_PL
checkout.step.summary.title,Potwierdź,pl_PL
checkout.step.shipment,Dalej,pl_PL
checkout.step.address.select_address,Wybierz adres,pl_PL
checkout.step.payment,Dalej,pl_PL
checkout.step.summary,Przejdź do podsumowania,pl_PL
checkout.step.summary.with_method,Z,pl_PL
checkout.step.summary.items,Pozycje,pl_PL
checkout.step.summary.overview,Przegląd,pl_PL
checkout.step.summary.sub_total,Suma częściowa,pl_PL
checkout.step.summary.grand_total,Suma całkowita,pl_PL
checkout.step.summary.payment,Płatność,pl_PL
checkout.step.summary.shipping,Dostawa,pl_PL
checkout.step.summary.tax,Podatek,pl_PL
checkout.step.summary.billing_address,Adres rozliczeniowy,pl_PL
checkout.step.summary.delivery_method,Metoda dostawy,pl_PL
checkout.step.summary.requested_delivery_date,Żądana data dostawy,pl_PL
checkout.step.summary.delivery_address,Adres dostawy,pl_PL
checkout.step.summary.products,Produkty,pl_PL
checkout.step.place.order,Złóż zamówienie,pl_PL
checkout.step.payment.must_be_older_than_18_years,Musisz mieć co najmniej 18 lat.,pl_PL
checkout.step.success.title,Dziękujemy!,pl_PL
checkout.step.success.text,Twoje zamówienie zostało pomyślnie złożone. E-mail z potwierdzeniem otrzymasz w ciągu kilku minut.,pl_PL
checkout.step.error.title,Twoje zamówienie nie zostało złożone.,pl_PL
checkout.step.error.text,Coś poszło nie tak. Przepraszamy.,pl_PL
checkout.back_button,Powrót do koszyka,pl_PL
checkout.secure,Bezpieczna kasa,pl_PL
customer.password.change.success,Hasło zostało pomyślnie zmienione,pl_PL
customer.newsletter.subscribed,Newsletter zasubskrybowany,pl_PL
dynamic_entity.validation.invalid_data_format,"Nieprawidłowy lub brakujący format danych. Upewnij się, że dane są podane w prawidłowym formacie. Przykładowa treść żądania: {'data':[{...},{...},..]}",pl_PL
dynamic_entity.validation.persistence_failed,Nie udało się zapisać danych dla `%errorPath%`. Sprawdź podane dane i spróbuj ponownie.,pl_PL
dynamic_entity.validation.persistence_failed_duplicate_entry,Nie udało się zapisać danych dla `%errorPath%`. Sprawdź podane dane i spróbuj ponownie. Wpis jest zduplikowany.,pl_PL
dynamic_entity.validation.persistence_failed_not_nullable_field,Nie udało się zapisać danych dla `%errorPath%`. Sprawdź podane dane i spróbuj ponownie. Pole nie może być puste.,pl_PL
