abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included,value_cost
M1000838,,DEFAULT,AT,EUR,9315,10350,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7245
M1000839,,DEFAULT,AT,CHF,27138,30153,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21107
M1000839,,DEFAULT,AT,CHF,21425,23805,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,16664
M1000839,,DEFAULT,AT,CHF,10713,11903,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8332
M1000839,,DEFAULT,AT,EUR,23598,26220,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18354
M1000839,,DEFAULT,AT,EUR,18630,20700,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,14490
M1000839,,DEFAULT,AT,EUR,9315,10350,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7245
M1000840,,DEFAULT,AT,CHF,27138,30153,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21107
M1000840,,DEFAULT,AT,CHF,21425,23805,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,16664
M1000840,,DEFAULT,AT,CHF,10713,11903,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8332
M1000840,,DEFAULT,AT,EUR,23598,26220,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18354
M1000840,,DEFAULT,AT,EUR,18630,20700,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,14490
M1000840,,DEFAULT,AT,EUR,9315,10350,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7245
M1002203,,DEFAULT,AT,CHF,7865,8739,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6117
M1002203,,DEFAULT,AT,CHF,6209,6899,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4829
M1002203,,DEFAULT,AT,CHF,3105,3450,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2415
M1002203,,DEFAULT,AT,EUR,6839,7599,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5319
M1002203,,DEFAULT,AT,EUR,5399,5999,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4199
M1002203,,DEFAULT,AT,EUR,2700,3000,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2100
M1006484,,DEFAULT,AT,CHF,27217,30240,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21168
M1006484,,DEFAULT,AT,CHF,21487,23874,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,16712
M1006484,,DEFAULT,AT,CHF,10744,11937,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8356
M1006484,,DEFAULT,AT,EUR,23666,26296,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18407
M1006484,,DEFAULT,AT,EUR,18684,20760,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,14532
M1006484,,DEFAULT,AT,EUR,9342,10380,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7266
M1006811,,DEFAULT,AT,CHF,28790,31988,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22392
M1006811,,DEFAULT,AT,CHF,22729,25254,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,17678
M1006811,,DEFAULT,AT,CHF,11365,12627,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8839
M1006811,,DEFAULT,AT,EUR,25034,27816,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,19471
M1006811,,DEFAULT,AT,EUR,19764,21960,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,15372
M1006811,,DEFAULT,AT,EUR,9882,10980,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7686
M1013168,,DEFAULT,AT,CHF,28790,31988,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22392
M1013168,,DEFAULT,AT,CHF,22729,25254,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,17678
M1013168,,DEFAULT,AT,CHF,11365,12627,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8839
M1013168,,DEFAULT,AT,EUR,25034,27816,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,19471
M1013168,,DEFAULT,AT,EUR,19764,21960,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,15372
M1013168,,DEFAULT,AT,EUR,9882,10980,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7686
M1013287,,DEFAULT,AT,CHF,4482,4981,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3487
M1013287,,DEFAULT,AT,CHF,3539,3932,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2752
M1013287,,DEFAULT,AT,CHF,1770,1966,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1376
M1013287,,DEFAULT,AT,EUR,3898,4331,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3032
M1013287,,DEFAULT,AT,EUR,3077,3419,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2393
M1013287,,DEFAULT,AT,EUR,1539,1710,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1197
M1013541,,DEFAULT,AT,CHF,3601,4002,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2801
M1013541,,DEFAULT,AT,CHF,2843,3160,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2212
M1013541,,DEFAULT,AT,CHF,1422,1580,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1106
M1013541,,DEFAULT,AT,EUR,3132,3480,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2436
M1013541,,DEFAULT,AT,EUR,2473,2747,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,1923
M1013541,,DEFAULT,AT,EUR,1237,1374,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,962
M1014496,,DEFAULT,AT,CHF,4720,5244,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3671
M1014496,,DEFAULT,AT,CHF,3726,4140,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2898
M1014496,,DEFAULT,AT,CHF,1863,2070,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1449
M1014496,,DEFAULT,AT,EUR,4104,4560,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3192
M1014496,,DEFAULT,AT,EUR,3240,3600,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2520
M1014496,,DEFAULT,AT,EUR,1620,1800,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1260
M1014502,,DEFAULT,AT,CHF,9776,10862,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7603
M1014502,,DEFAULT,AT,CHF,7718,8576,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6003
M1014502,,DEFAULT,AT,CHF,3859,4288,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3002
M1014502,,DEFAULT,AT,EUR,8501,9445,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6612
M1014502,,DEFAULT,AT,EUR,6711,7457,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5220
M1014502,,DEFAULT,AT,EUR,3356,3729,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2610
,100107,DEFAULT,AT,CHF,9439,10488,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7342
,100107,DEFAULT,AT,CHF,7452,8280,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5796
,100107,DEFAULT,AT,CHF,3726,4140,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2898
,100107,DEFAULT,AT,EUR,8208,9120,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6384
,100107,DEFAULT,AT,EUR,6480,7200,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5040
,100107,DEFAULT,AT,EUR,3240,3600,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2520
,1001454,DEFAULT,AT,CHF,9833,10925,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7647
,1001454,DEFAULT,AT,CHF,7763,8625,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6038
,1001454,DEFAULT,AT,CHF,3882,4313,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3019
,1001454,DEFAULT,AT,EUR,8550,9500,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6650
,1001454,DEFAULT,AT,EUR,6750,7500,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5250
,1001454,DEFAULT,AT,EUR,3375,3750,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2625
,100223,DEFAULT,AT,CHF,10068,11187,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,7831
,100223,DEFAULT,AT,CHF,7949,8832,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6182
,100223,DEFAULT,AT,CHF,3975,4416,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,3091
,100223,DEFAULT,AT,EUR,8755,9728,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6810
,100223,DEFAULT,AT,EUR,6912,7680,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5376
,100223,DEFAULT,AT,EUR,3456,3840,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2688
,100266,DEFAULT,AT,CHF,7002,7779,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5445
,100266,DEFAULT,AT,CHF,5528,6141,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4299
,100266,DEFAULT,AT,CHF,2764,3071,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2150
,100266,DEFAULT,AT,EUR,6088,6764,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4735
,100266,DEFAULT,AT,EUR,4806,5340,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3738
,100266,DEFAULT,AT,EUR,2403,2670,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1869
,100288,DEFAULT,AT,CHF,8259,9177,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,6424
,100288,DEFAULT,AT,CHF,6521,7245,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5072
,100288,DEFAULT,AT,CHF,3261,3623,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2536
,100288,DEFAULT,AT,EUR,7182,7980,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5586
,100288,DEFAULT,AT,EUR,5670,6300,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4410
,100288,DEFAULT,AT,EUR,2835,3150,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2205
,100414,DEFAULT,AT,CHF,6686,7429,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,5200
,100414,DEFAULT,AT,CHF,5279,5865,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4106
,100414,DEFAULT,AT,CHF,2640,2933,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,2053
,100414,DEFAULT,AT,EUR,5814,6460,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4522
,100414,DEFAULT,AT,EUR,4590,5100,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3570
,100414,DEFAULT,AT,EUR,2295,2550,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1785
,100429,DEFAULT,AT,CHF,27874,30970,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21679
,100429,DEFAULT,AT,CHF,22006,24450,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,17115
,100429,DEFAULT,AT,CHF,11003,12225,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8558
,100429,DEFAULT,AT,EUR,24238,26931,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18852
,100429,DEFAULT,AT,EUR,19136,21261,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,14883
,100429,DEFAULT,AT,EUR,9568,10631,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7442
,100430,DEFAULT,AT,CHF,2717,3019,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2113
,100430,DEFAULT,AT,CHF,2145,2384,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,1669
,100430,DEFAULT,AT,CHF,1073,1192,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,834
,100430,DEFAULT,AT,EUR,2363,2625,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,1837
,100430,DEFAULT,AT,EUR,1865,2072,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,1450
,100430,DEFAULT,AT,EUR,933,1036,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,725
,100588,DEFAULT,AT,CHF,33790,37545,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,26282
,100588,DEFAULT,AT,CHF,26676,29641,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,20749
,100588,DEFAULT,AT,CHF,13338,14821,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10375
,100588,DEFAULT,AT,EUR,29383,32648,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22854
,100588,DEFAULT,AT,EUR,23197,25775,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18042
,100588,DEFAULT,AT,EUR,11599,12888,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9022
,100666,DEFAULT,AT,CHF,16670,18522,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,12965
,100666,DEFAULT,AT,CHF,13160,14623,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,10236
,100666,DEFAULT,AT,CHF,6580,7312,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,5118
,100666,DEFAULT,AT,EUR,14495,16106,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,11274
,100666,DEFAULT,AT,EUR,11444,12716,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,8901
,100666,DEFAULT,AT,EUR,5722,6358,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,4451
,100682,DEFAULT,AT,CHF,29385,32652,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22856
,100682,DEFAULT,AT,CHF,23199,25778,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18045
,100682,DEFAULT,AT,CHF,11600,12889,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9022
,100682,DEFAULT,AT,EUR,25553,28392,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,19874
,100682,DEFAULT,AT,EUR,20174,22415,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,15690
,100682,DEFAULT,AT,EUR,10087,11208,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,7846
,100683,DEFAULT,AT,CHF,34754,38615,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,27030
,100683,DEFAULT,AT,CHF,27437,30485,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21340
,100683,DEFAULT,AT,CHF,13719,15243,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10670
,100683,DEFAULT,AT,EUR,30220,33579,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,23505
,100683,DEFAULT,AT,EUR,23858,26510,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18557
,100683,DEFAULT,AT,EUR,11929,13255,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9278
,100907,DEFAULT,AT,CHF,5843,6492,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4544
,100907,DEFAULT,AT,CHF,4613,5126,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3588
,100907,DEFAULT,AT,CHF,2307,2563,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1794
,100907,DEFAULT,AT,EUR,5082,5646,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3952
,100907,DEFAULT,AT,EUR,4012,4457,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3120
,100907,DEFAULT,AT,EUR,2006,2229,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1560
,100949,DEFAULT,AT,CHF,31314,34795,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,24356
,100949,DEFAULT,AT,CHF,24722,27470,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,19229
,100949,DEFAULT,AT,CHF,12361,13735,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,9614
,100949,DEFAULT,AT,EUR,27230,30256,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21179
,100949,DEFAULT,AT,EUR,21497,23886,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,16720
,100949,DEFAULT,AT,EUR,10749,11943,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8360
,100999,DEFAULT,AT,CHF,32909,36566,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,25596
,100999,DEFAULT,AT,CHF,25981,28868,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,20208
,100999,DEFAULT,AT,CHF,12991,14434,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,10104
,100999,DEFAULT,AT,EUR,28616,31797,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,22258
,100999,DEFAULT,AT,EUR,22592,25103,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,17572
,100999,DEFAULT,AT,EUR,11296,12552,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8786
