abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices,value_cost
M49207,,ORIGINAL,US,USD,42240,,,35018
,101007,DEFAULT,US,USD,38036,,,31517
,101007,ORIGINAL,US,USD,42240,,,35018
M53235,,DEFAULT,US,USD,33915,,,28084
M53235,,ORIGINAL,US,USD,37661,,,31204
,101102,DEFAULT,US,USD,33915,,,28084
,101102,ORIGINAL,US,USD,37661,,,31204
M731,,DEFAULT,US,USD,30677,,,25387
M731,,ORIGINAL,US,USD,34063,,,28207
,101171,DEFAULT,US,USD,30677,,,25387
,101171,ORIGINAL,US,USD,34063,,,28207
M1028038,,DEFAULT,US,USD,17054,,,14040
M1028038,,ORIGINAL,US,USD,18926,,,15599
,101172,DEFAULT,US,USD,17054,,,14040
,101172,ORIGINAL,US,USD,18926,,,15599
M2495,,DEFAULT,US,USD,16346,,,13450
M2495,,ORIGINAL,US,USD,18140,,,14944
,101226,DEFAULT,US,USD,16346,,,13450
,101226,ORIGINAL,US,USD,18140,,,14944
M11480,,DEFAULT,US,USD,19343,,,15946
M11480,,ORIGINAL,US,USD,21470,,,17718
,101441,DEFAULT,US,USD,19343,,,15946
,101441,ORIGINAL,US,USD,21470,,,17718
M1014948,,DEFAULT,US,USD,18682,,,15395
M1014948,,ORIGINAL,US,USD,20735,,,17105
,101509,DEFAULT,US,USD,18682,,,15395
,101509,ORIGINAL,US,USD,20735,,,17105
M64933,,DEFAULT,US,USD,11703,,,9582
M64933,,ORIGINAL,US,USD,12981,,,10647
,101515,DEFAULT,US,USD,11703,,,9582
,101515,ORIGINAL,US,USD,12981,,,10647
M39658,,DEFAULT,US,USD,19388,,,15984
M39658,,ORIGINAL,US,USD,21520,,,17760
,101560,DEFAULT,US,USD,19388,,,15984
,101560,ORIGINAL,US,USD,21520,,,17760
M15226,,DEFAULT,US,USD,21648,,,17866
M15226,,ORIGINAL,US,USD,24031,,,19851
,101759,DEFAULT,US,USD,21648,,,17866
,101759,ORIGINAL,US,USD,24031,,,19851
M79890,,DEFAULT,US,USD,11188,,,9153
M79890,,ORIGINAL,US,USD,12408,,,10170
,101828,DEFAULT,US,USD,11188,,,9153
,101828,ORIGINAL,US,USD,12408,,,10170
M74972,,DEFAULT,US,USD,33218,,,27504
M74972,,ORIGINAL,US,USD,36886,,,30560
,101863,DEFAULT,US,USD,33218,,,27504
,101863,ORIGINAL,US,USD,36886,,,30560
M74974,,DEFAULT,US,USD,43428,,,36009
M74974,,ORIGINAL,US,USD,48231,,,40009
,101865,DEFAULT,US,USD,43428,,,36009
,101865,ORIGINAL,US,USD,48231,,,40009
M74907,,DEFAULT,US,USD,59929,,,49754
M74907,,ORIGINAL,US,USD,66565,,,55282
,101940,DEFAULT,US,USD,59929,,,49754
,101940,ORIGINAL,US,USD,66565,,,55282
M1018212,,DEFAULT,US,USD,43212,,,35830
M1018212,,ORIGINAL,US,USD,47991,,,39810
,102121,DEFAULT,US,USD,43212,,,35830
,102121,ORIGINAL,US,USD,47991,,,39810
M58035,,DEFAULT,US,USD,27503,,,22744
M58035,,ORIGINAL,US,USD,30536,,,25271
,102124,DEFAULT,US,USD,27503,,,22744
,102124,ORIGINAL,US,USD,30536,,,25271
,102126,DEFAULT,US,USD,26802,,,22160
,102126,ORIGINAL,US,USD,29757,,,24622
,102128,DEFAULT,US,USD,31819,,,26339
,102128,ORIGINAL,US,USD,35332,,,29265
,102130,DEFAULT,US,USD,32749,,,27113
,102130,ORIGINAL,US,USD,36365,,,30125
M58100,,DEFAULT,US,USD,26676,,,22054
M58100,,ORIGINAL,US,USD,29617,,,24504
,102169,DEFAULT,US,USD,26676,,,22054
,102169,ORIGINAL,US,USD,29617,,,24504
M58095,,DEFAULT,US,USD,15560,,,12795
M58095,,ORIGINAL,US,USD,17266,,,14217
,102177,DEFAULT,US,USD,15560,,,12795
,102177,ORIGINAL,US,USD,17266,,,14217
M58102,,DEFAULT,US,USD,17040,,,14028
,102180,DEFAULT,US,USD,17040,,,14028
M58103,,DEFAULT,US,USD,17040,,,14028
,102181,DEFAULT,US,USD,17040,,,14028
M58104,,DEFAULT,US,USD,17040,,,14028
,102182,DEFAULT,US,USD,17040,,,14028
M58105,,DEFAULT,US,USD,17040,,,14028
,102183,DEFAULT,US,USD,17040,,,14028
M61124,,DEFAULT,US,USD,15672,,,12888
,102708,DEFAULT,US,USD,15672,,,12888
M61125,,DEFAULT,US,USD,18485,,,15231
,102712,DEFAULT,US,USD,18485,,,15231
M53287,,DEFAULT,US,USD,12858,,,10545
,102775,DEFAULT,US,USD,12858,,,10545
M53288,,DEFAULT,US,USD,13234,,,10857
,102779,DEFAULT,US,USD,13234,,,10857
M226,,DEFAULT,US,USD,39302,,,32572
,102809,DEFAULT,US,USD,39302,,,32572
M62584,,DEFAULT,US,USD,16984,,,13981
,102841,DEFAULT,US,USD,16984,,,13981
M766,,DEFAULT,US,USD,19422,,,16012
,102917,DEFAULT,US,USD,19422,,,16012
M767,,DEFAULT,US,USD,20032,,,16520
,102918,DEFAULT,US,USD,20032,,,16520
M768,,DEFAULT,US,USD,21860,,,18043
,102919,DEFAULT,US,USD,21860,,,18043
M769,,DEFAULT,US,USD,23361,,,19293
,102920,DEFAULT,US,USD,23361,,,19293
M771,,DEFAULT,US,USD,25236,,,20855
,102922,DEFAULT,US,USD,25236,,,20855
M787,,DEFAULT,US,USD,23454,,,19371
,102923,DEFAULT,US,USD,23454,,,19371
M788,,DEFAULT,US,USD,25049,,,20699
,102924,DEFAULT,US,USD,25049,,,20699
M789,,DEFAULT,US,USD,25611,,,21167
,102925,DEFAULT,US,USD,25611,,,21167
,102935,DEFAULT,US,USD,13064,,,10716
,102936,DEFAULT,US,USD,14875,,,12224
,102938,DEFAULT,US,USD,17641,,,14528
,102939,DEFAULT,US,USD,18672,,,15387
M719,,DEFAULT,US,USD,19470,,,16052
,102940,DEFAULT,US,USD,19470,,,16052
M72878,,DEFAULT,US,USD,19111,,,15753
,102972,DEFAULT,US,USD,19111,,,15753
M64947,,DEFAULT,US,USD,13477,,,11060
,102976,DEFAULT,US,USD,13477,,,11060
M64934,,DEFAULT,US,USD,20735,,,17106
,102988,DEFAULT,US,USD,20735,,,17106
M40490,,DEFAULT,US,USD,26361,,,21792
,103117,DEFAULT,US,USD,26361,,,21792
M40491,,DEFAULT,US,USD,33863,,,28041
,103118,DEFAULT,US,USD,33863,,,28041
M11306,,DEFAULT,US,USD,15259,,,12544
,103235,DEFAULT,US,USD,15259,,,12544
M74815,,DEFAULT,US,USD,17922,,,14762
,103296,DEFAULT,US,USD,17922,,,14762
M66923,,DEFAULT,US,USD,9539,,,7779
,103388,DEFAULT,US,USD,9539,,,7779
M69408,,DEFAULT,US,USD,21485,,,17731
,103510,DEFAULT,US,USD,21485,,,17731
M1028049,,DEFAULT,US,USD,28237,,,23355
,103740,DEFAULT,US,USD,28237,,,23355
M72844,,DEFAULT,US,USD,64807,,,53817
,103836,DEFAULT,US,USD,64807,,,53817
M72843,,DEFAULT,US,USD,43240,,,35853
,103838,DEFAULT,US,USD,43240,,,35853
M72937,,DEFAULT,US,USD,49991,,,41476
,103889,DEFAULT,US,USD,49991,,,41476
M72938,,DEFAULT,US,USD,51773,,,42960
,103890,DEFAULT,US,USD,51773,,,42960
M72933,,DEFAULT,US,USD,40193,,,33314
,103905,DEFAULT,US,USD,40193,,,33314
M72935,,DEFAULT,US,USD,41974,,,34798
,103907,DEFAULT,US,USD,41974,,,34798
M26831,,DEFAULT,US,USD,64807,,,53817
,104074,DEFAULT,US,USD,64807,,,53817
M10577,,DEFAULT,US,USD,8423,,,6850
,104151,DEFAULT,US,USD,8423,,,6850
M10871,,DEFAULT,US,USD,9848,,,8037
,104190,DEFAULT,US,USD,9848,,,8037
M10872,,DEFAULT,US,USD,10439,,,8530
,104192,DEFAULT,US,USD,10439,,,8530
M11473,,DEFAULT,US,USD,10805,,,8834
,104440,DEFAULT,US,USD,10805,,,8834
M75071,,DEFAULT,US,USD,19664,,,16214
,104445,DEFAULT,US,USD,19664,,,16214
M11542,,DEFAULT,US,USD,9848,,,8037
M11542,,ORIGINAL,US,USD,10920,,,8930
,104517,DEFAULT,US,USD,9848,,,8037
,104517,ORIGINAL,US,USD,10920,,,8930
M2365,,DEFAULT,US,USD,24017,,,19839
,104523,DEFAULT,US,USD,24017,,,19839
M2366,,DEFAULT,US,USD,25856,,,21372
,104524,DEFAULT,US,USD,25856,,,21372
M526,,DEFAULT,US,USD,26822,,,22176
,104937,DEFAULT,US,USD,26822,,,22176
M528,,DEFAULT,US,USD,27834,,,23019
M528,,ORIGINAL,US,USD,30904,,,25576
,104939,DEFAULT,US,USD,27834,,,23019
,104939,ORIGINAL,US,USD,30904,,,25576
M79892,,DEFAULT,US,USD,12314,,,10091
,107061,DEFAULT,US,USD,12314,,,10091
M79932,,DEFAULT,US,USD,8556,,,6961
,107063,DEFAULT,US,USD,8556,,,6961
M80392,,DEFAULT,US,USD,17283,,,14230
,107253,DEFAULT,US,USD,17283,,,14230
,107252,DEFAULT,US,USD,18991,,,15653
M12655,,DEFAULT,US,USD,17283,,,14230
,107254,DEFAULT,US,USD,17283,,,14230
M12656,,DEFAULT,US,USD,20390,,,16818
,107255,DEFAULT,US,USD,20390,,,16818
M87416,,DEFAULT,US,USD,37871,,,31380
,107273,DEFAULT,US,USD,37871,,,31380
M87599,,DEFAULT,US,USD,65335,,,54257
,107287,DEFAULT,US,USD,65335,,,54257
M213,,DEFAULT,US,USD,24140,,,19942
,107305,DEFAULT,US,USD,24140,,,19942
M229,,DEFAULT,US,USD,31864,,,26376
,107306,DEFAULT,US,USD,31864,,,26376
M14054,,DEFAULT,US,USD,43021,,,35670
,107310,DEFAULT,US,USD,43021,,,35670
M15127,,DEFAULT,US,USD,24140,,,19942
,107311,DEFAULT,US,USD,24140,,,19942
M432,,DEFAULT,US,USD,54223,,,45001
,107313,DEFAULT,US,USD,54223,,,45001
M87464,,DEFAULT,US,USD,34438,,,28521
,107315,DEFAULT,US,USD,34438,,,28521
M86939,,DEFAULT,US,USD,18177,,,14975
,107396,DEFAULT,US,USD,18177,,,14975
M86938,,DEFAULT,US,USD,19984,,,16480
,107403,DEFAULT,US,USD,19984,,,16480
M90851,,DEFAULT,US,USD,121665,,,101181
,107938,DEFAULT,US,USD,121665,,,101181
M90810,,DEFAULT,US,USD,31864,,,26376
,108263,DEFAULT,US,USD,31864,,,26376
M90737,,DEFAULT,US,USD,14708,,,12085
,108278,DEFAULT,US,USD,14708,,,12085
M90800,,DEFAULT,US,USD,30148,,,24947
,108287,DEFAULT,US,USD,30148,,,24947
M90805,,DEFAULT,US,USD,44737,,,37099
,108298,DEFAULT,US,USD,44737,,,37099
M90806,,DEFAULT,US,USD,55939,,,46431
,108302,DEFAULT,US,USD,55939,,,46431
M1000785,,DEFAULT,US,USD,40762,,,33788
,212427,DEFAULT,US,USD,40762,,,33788
M1000786,,DEFAULT,US,USD,12345,,,10116
,212440,DEFAULT,US,USD,12345,,,10116
M1000838,,DEFAULT,US,USD,141488,,,117693
,212442,DEFAULT,US,USD,141488,,,117693
M1000839,,DEFAULT,US,USD,168113,,,139872
,212444,DEFAULT,US,USD,168113,,,139872
M1000840,,DEFAULT,US,USD,266345,,,221699
,212447,DEFAULT,US,USD,266345,,,221699
M1006484,,DEFAULT,US,USD,21456,,,17706
,212837,DEFAULT,US,USD,21456,,,17706
M1006811,,DEFAULT,US,USD,14564,,,11965
,213103,DEFAULT,US,USD,14564,,,11965
M1006871,,DEFAULT,US,USD,24501,,,20243
,213216,DEFAULT,US,USD,24501,,,20243
M5108,,DEFAULT,US,USD,9224,,,7517
,400065,DEFAULT,US,USD,9224,,,7517
M5043,,DEFAULT,US,USD,27075,,,22387
,400072,DEFAULT,US,USD,27075,,,22387
M5022,,DEFAULT,US,USD,18177,,,14975
,400074,DEFAULT,US,USD,18177,,,14975
M5113,,DEFAULT,US,USD,16370,,,13470
,400434,DEFAULT,US,USD,16370,,,13470
M65062,,DEFAULT,US,USD,148809,,,123791
,400855,DEFAULT,US,USD,148809,,,123791
M5154,,DEFAULT,US,USD,11176,,,9143
,401627,DEFAULT,US,USD,11176,,,9143
M5155,,DEFAULT,US,USD,15576,,,12808
,401629,DEFAULT,US,USD,15576,,,12808
M5147,,DEFAULT,US,USD,16009,,,13169
,401768,DEFAULT,US,USD,16009,,,13169
M5148,,DEFAULT,US,USD,21791,,,17985
,401781,DEFAULT,US,USD,21791,,,17985
M5044,,DEFAULT,US,USD,18006,,,14832
,403006,DEFAULT,US,USD,18006,,,14832
M70208,,DEFAULT,US,USD,19984,,,16480
,403125,DEFAULT,US,USD,19984,,,16480
M88184,,DEFAULT,US,USD,587410,,,489145
,404108,DEFAULT,US,USD,587410,,,489145
M1031236,,DEFAULT,US,USD,16912,,,13922
,408034,DEFAULT,US,USD,16912,,,13922
M1031238,,DEFAULT,US,USD,5430,,,4357
,408104,DEFAULT,US,USD,5430,,,4357
M90799,,DEFAULT,US,USD,34438,,,28521
,410075,DEFAULT,US,USD,34438,,,28521
M90802,,DEFAULT,US,USD,42163,,,34955
,410083,DEFAULT,US,USD,42163,,,34955
M1024684,,DEFAULT,US,USD,53319,,,44248
,410090,DEFAULT,US,USD,53319,,,44248
M1024689,,DEFAULT,US,USD,74820,,,62159
,410102,DEFAULT,US,USD,74820,,,62159
M90804,,DEFAULT,US,USD,24140,,,19942
,410104,DEFAULT,US,USD,24140,,,19942
M1080190,,DEFAULT,US,USD,27573,,,22801
,411653,DEFAULT,US,USD,27573,,,22801
M1079243,,DEFAULT,US,USD,18177,,,14975
,413849,DEFAULT,US,USD,18177,,,14975
M1079219,,DEFAULT,US,USD,35342,,,29273
,413850,DEFAULT,US,USD,35342,,,29273
M1079221,,DEFAULT,US,USD,16521,,,13596
,413852,DEFAULT,US,USD,16521,,,13596
M1079222,,DEFAULT,US,USD,29018,,,24005
,413854,DEFAULT,US,USD,29018,,,24005
M1028375,,DEFAULT,US,USD,73104,,,60729
,414097,DEFAULT,US,USD,73104,,,60729
M1028376,,DEFAULT,US,USD,77350,,,64266
,414098,DEFAULT,US,USD,77350,,,64266
M29455,,DEFAULT,US,USD,29018,,,24005
M29455,,ORIGINAL,US,USD,32220,,,26672
,419780,DEFAULT,US,USD,29018,,,24005
,419780,ORIGINAL,US,USD,32220,,,26672
M29456,,DEFAULT,US,USD,22718,,,18758
,419781,DEFAULT,US,USD,22718,,,18758
,419782,DEFAULT,US,USD,18214,,,15006
M29468,,DEFAULT,US,USD,50042,,,41518
,419803,DEFAULT,US,USD,50042,,,41518
M29499,,DEFAULT,US,USD,3017,,,2346
,419869,DEFAULT,US,USD,3017,,,2346
M29501,,DEFAULT,US,USD,24602,,,20327
,419871,DEFAULT,US,USD,24602,,,20327
M29502,,DEFAULT,US,USD,3488,,,2738
,419872,DEFAULT,US,USD,3488,,,2738
M29503,,DEFAULT,US,USD,5372,,,4308
,419873,DEFAULT,US,USD,5372,,,4308
M29504,,DEFAULT,US,USD,28371,,,23467
,419876,DEFAULT,US,USD,28371,,,23467
M29507,,DEFAULT,US,USD,18949,,,15618
,419880,DEFAULT,US,USD,18949,,,15618
M29523,,DEFAULT,US,USD,46273,,,38379
,419897,DEFAULT,US,USD,46273,,,38379
M29524,,DEFAULT,US,USD,33082,,,27391
M29524,,ORIGINAL,US,USD,36735,,,30434
,419898,DEFAULT,US,USD,33082,,,27391
,419898,ORIGINAL,US,USD,36735,,,30434
M29525,,DEFAULT,US,USD,9808,,,8004
,419900,DEFAULT,US,USD,9808,,,8004
M29526,,DEFAULT,US,USD,9808,,,8004
,419901,DEFAULT,US,USD,9808,,,8004
M29529,,DEFAULT,US,USD,77640,,,64508
M29529,,ORIGINAL,US,USD,86244,,,71675
,419904,DEFAULT,US,USD,77640,,,64508
,419904,ORIGINAL,US,USD,86244,,,71675
M29530,,DEFAULT,US,USD,89100,,,74054
M29530,,ORIGINAL,US,USD,98977,,,82282
,419905,DEFAULT,US,USD,89100,,,74054
,419905,ORIGINAL,US,USD,98977,,,82282
M21062,,DEFAULT,US,USD,635,,,362
,420506,DEFAULT,US,USD,635,,,362
M21066,,DEFAULT,US,USD,445,,,204
,420514,DEFAULT,US,USD,445,,,204
M21067,,DEFAULT,US,USD,483,,,236
,420520,DEFAULT,US,USD,483,,,236
M21073,,DEFAULT,US,USD,759,,,465
,420527,DEFAULT,US,USD,759,,,465
M21090,,DEFAULT,US,USD,2024,,,1519
,420549,DEFAULT,US,USD,2024,,,1519
M21091,,DEFAULT,US,USD,3006,,,2338
,420550,DEFAULT,US,USD,3006,,,2338
M21092,,DEFAULT,US,USD,1148,,,790
,420551,DEFAULT,US,USD,1148,,,790
M21093,,DEFAULT,US,USD,2940,,,2283
,420554,DEFAULT,US,USD,2940,,,2283
M21094,,DEFAULT,US,USD,10631,,,8689
,420555,DEFAULT,US,USD,10631,,,8689
M21097,,DEFAULT,US,USD,2148,,,1623
,420562,DEFAULT,US,USD,2148,,,1623
M21099,,DEFAULT,US,USD,1034,,,694
,420565,DEFAULT,US,USD,1034,,,694
M21100,,DEFAULT,US,USD,1527,,,1105
,420566,DEFAULT,US,USD,1527,,,1105
M21101,,DEFAULT,US,USD,2227,,,1689
,420567,DEFAULT,US,USD,2227,,,1689
M21103,,DEFAULT,US,USD,2382,,,1817
,420573,DEFAULT,US,USD,2382,,,1817
M21104,,DEFAULT,US,USD,7839,,,6364
,420574,DEFAULT,US,USD,7839,,,6364
M21105,,DEFAULT,US,USD,2192,,,1659
,420575,DEFAULT,US,USD,2192,,,1659
M21189,,DEFAULT,US,USD,863,,,552
,420685,DEFAULT,US,USD,600,,"[{""quantity"":5,""net_price"":350,""gross_price"":},{""quantity"":10,""net_price"":300,""gross_price"":},{""quantity"":20,""net_price"":200,""gross_price"":}]",336
M21190,,DEFAULT,US,USD,606,,,339
M21190,,ORIGINAL,US,USD,651,,,376
,420687,DEFAULT,US,USD,606,,,339
,420687,ORIGINAL,US,USD,651,,,376
M21191,,DEFAULT,US,USD,505,,,254
,420689,DEFAULT,US,USD,505,,,254
M21193,,DEFAULT,US,USD,936,,,613
,420691,DEFAULT,US,USD,936,,,613
M21194,,DEFAULT,US,USD,688,,,406
,420692,DEFAULT,US,USD,688,,,406
M21195,,DEFAULT,US,USD,555,,,295
,420694,DEFAULT,US,USD,555,,,295
M21196,,DEFAULT,US,USD,994,,,662
,420695,DEFAULT,US,USD,994,,,662
M21197,,DEFAULT,US,USD,1235,,,862
,420696,DEFAULT,US,USD,1235,,,862
M21200,,DEFAULT,US,USD,563,,,302
,420706,DEFAULT,US,USD,563,,,302
M21201,,DEFAULT,US,USD,555,,,295
,420707,DEFAULT,US,USD,555,,,295
M21202,,DEFAULT,US,USD,1076,,,730
,420708,DEFAULT,US,USD,1076,,,730
M21203,,DEFAULT,US,USD,1076,,,730
,420709,DEFAULT,US,USD,1076,,,730
M21205,,DEFAULT,US,USD,406,,,172
,420712,DEFAULT,US,USD,406,,,172
M21296,,DEFAULT,US,USD,1193,,,827
,420836,DEFAULT,US,USD,1193,,,827
M21299,,DEFAULT,US,USD,3265,,,2553
,420845,DEFAULT,US,USD,3265,,,2553
M21635,,DEFAULT,US,USD,1400,,,1000
,421245,DEFAULT,US,USD,1400,,,1000
M21636,,DEFAULT,US,USD,1036,,,696
,421246,DEFAULT,US,USD,1036,,,696
M21637,,DEFAULT,US,USD,671,,,392
,421247,DEFAULT,US,USD,671,,,392
M21638,,DEFAULT,US,USD,779,,,482
,421248,DEFAULT,US,USD,779,,,482
M21646,,DEFAULT,US,USD,414,,,178
,421261,DEFAULT,US,USD,414,,,178
M21648,,DEFAULT,US,USD,911,,,592
,421263,DEFAULT,US,USD,911,,,592
M21650,,DEFAULT,US,USD,654,,,379
,421265,DEFAULT,US,USD,654,,,379
M21679,,DEFAULT,US,USD,721,,,434
,421322,DEFAULT,US,USD,721,,,434
M21680,,DEFAULT,US,USD,645,,,371
,421323,DEFAULT,US,USD,645,,,371
M21681,,DEFAULT,US,USD,721,,,434
,421324,DEFAULT,US,USD,721,,,434
M21684,,DEFAULT,US,USD,464,,,220
,421327,DEFAULT,US,USD,464,,,220
M21690,,DEFAULT,US,USD,721,,,434
,421339,DEFAULT,US,USD,721,,,434
,421340,DEFAULT,US,USD,721,,,434
M21691,,DEFAULT,US,USD,721,,,434
,421341,DEFAULT,US,USD,721,,,434
,421342,DEFAULT,US,USD,721,,,434
M21692,,DEFAULT,US,USD,721,,,434
,421343,DEFAULT,US,USD,721,,,434
,421344,DEFAULT,US,USD,721,,,434
M21693,,DEFAULT,US,USD,721,,,434
,421345,DEFAULT,US,USD,721,,,434
,421346,DEFAULT,US,USD,721,,,434
M21694,,DEFAULT,US,USD,853,,,544
,421347,DEFAULT,US,USD,853,,,544
M21703,,DEFAULT,US,USD,613,,,344
,421378,DEFAULT,US,USD,613,,,344
M21708,,DEFAULT,US,USD,654,,,379
,421418,DEFAULT,US,USD,654,,,379
M21704,,DEFAULT,US,USD,505,,,254
,421425,DEFAULT,US,USD,505,,,254
M21711,,DEFAULT,US,USD,572,,,309
,421426,DEFAULT,US,USD,572,,,309
M21713,,DEFAULT,US,USD,1061,,,717
,421428,DEFAULT,US,USD,1061,,,717
M21714,,DEFAULT,US,USD,1044,,,703
,421432,DEFAULT,US,USD,1044,,,703
M21715,,DEFAULT,US,USD,688,,,406
,421433,DEFAULT,US,USD,688,,,406
M21716,,DEFAULT,US,USD,746,,,454
,421435,DEFAULT,US,USD,746,,,454
M21717,,DEFAULT,US,USD,406,,,172
,421436,DEFAULT,US,USD,406,,,172
M21740,,DEFAULT,US,USD,530,,,275
,421475,DEFAULT,US,USD,530,,,275
M21741,,DEFAULT,US,USD,530,,,275
,421476,DEFAULT,US,USD,530,,,275
M21742,,DEFAULT,US,USD,530,,,275
,421477,DEFAULT,US,USD,530,,,275
M21743,,DEFAULT,US,USD,530,,,275
,421478,DEFAULT,US,USD,530,,,275
M21744,,DEFAULT,US,USD,572,,,309
,421479,DEFAULT,US,USD,572,,,309
M21745,,DEFAULT,US,USD,1193,,,827
,421481,DEFAULT,US,USD,1193,,,827
M21759,,DEFAULT,US,USD,2684,,,2069
M21759,,ORIGINAL,US,USD,2960,,,2299
,421511,DEFAULT,US,USD,2684,,,2069
,421511,ORIGINAL,US,USD,2960,,,2299
M21766,,DEFAULT,US,USD,428,,,190
,421519,DEFAULT,US,USD,428,,,190
,421519_1,DEFAULT,US,USD,1340,,,948
,421519_2,DEFAULT,US,USD,2480,,,1897
,421519_3,DEFAULT,US,USD,3620,,,2846
M21771,,DEFAULT,US,USD,420,,,183
,421530,DEFAULT,US,USD,420,,,183
M21772,,DEFAULT,US,USD,3261,,,2549
,421531,DEFAULT,US,USD,3261,,,2549
M21773,,DEFAULT,US,USD,3702,,,2918
,421533,DEFAULT,US,USD,3702,,,2918
M21774,,DEFAULT,US,USD,1610,,,1175
,421534,DEFAULT,US,USD,1610,,,1175
M21777,,DEFAULT,US,USD,1408,,,1006
,421538,DEFAULT,US,USD,1408,,,1006
M21778,,DEFAULT,US,USD,1408,,,1006
,421539,DEFAULT,US,USD,1408,,,1006
M21779,,DEFAULT,US,USD,2794,,,2160
,421540,DEFAULT,US,USD,2794,,,2160
M21903,,DEFAULT,US,USD,1108,,,756
,421768,DEFAULT,US,USD,1108,,,756
M22230,,DEFAULT,US,USD,1081,,,734
,422524,DEFAULT,US,USD,1081,,,734
M22232,,DEFAULT,US,USD,851,,,542
,422528,DEFAULT,US,USD,851,,,542
M22269,,DEFAULT,US,USD,949,,,624
,422573,DEFAULT,US,USD,949,,,624
M22397,,DEFAULT,US,USD,516,,,263
,422721,DEFAULT,US,USD,516,,,263
M22398,,DEFAULT,US,USD,240,,,34
,422722,DEFAULT,US,USD,240,,,34
M22410,,DEFAULT,US,USD,817,,,514
,422741,DEFAULT,US,USD,817,,,514
M22411,,DEFAULT,US,USD,817,,,514
,422743,DEFAULT,US,USD,817,,,514
M22412,,DEFAULT,US,USD,1258,,,881
,422745,DEFAULT,US,USD,1258,,,881
M22432,,DEFAULT,US,USD,684,,,403
,422780,DEFAULT,US,USD,684,,,403
M22484,,DEFAULT,US,USD,275,,,63
,422855,DEFAULT,US,USD,275,,,63
M22613,,DEFAULT,US,USD,375,,,146
,423105,DEFAULT,US,USD,375,,,146
M22660,,DEFAULT,US,USD,287,,,72
M22660,,ORIGINAL,US,USD,296,,,80
,423172,DEFAULT,US,USD,287,,,72
,423172,ORIGINAL,US,USD,296,,,80
M22661,,DEFAULT,US,USD,287,,,72
,423173,DEFAULT,US,USD,287,,,72
M22662,,DEFAULT,US,USD,287,,,72
,423174,DEFAULT,US,USD,287,,,72
