company_role_key,permission_key,configuration
BoB-Hotel-Kudamm_Admin,DeleteCompanyUsersPermissionPlugin,
BoB-Hotel-Mitte_Admin,DeleteCompanyUsersPermissionPlugin,
BoB-Regular_Admin,DeleteCompanyUsersPermissionPlugin,
test-company_Admin,DeleteCompanyUsersPermissionPlugin,
test-company-2_Admin,DeleteCompanyUsersPermissionPlugin,
restricted-company-1_Admin,DeleteCompanyUsersPermissionPlugin,
restricted-company-2_Admin,DeleteCompanyUsersPermissionPlugin,
Ottom_Admin,DeleteCompanyUsersPermissionPlugin,
Acme_Admin,EditCompanyUsersPermissionPlugin,
test-company_Admin,EditCompanyUsersPermissionPlugin,
trial-company_Admin,EditCompanyUsersPermissionPlugin,
proof-company_Admin,EditCompanyUsersPermissionPlugin,
BoB-Hotel-Jim_Admin,EditCompanyUsersPermissionPlugin,
BoB-Hotel-Kudamm_Admin,EditCompanyUsersPermissionPlugin,
BoB-Hotel-Mitte_Admin,EditCompanyUsersPermissionPlugin,
BoB-Regular_Admin,EditCompanyUsersPermissionPlugin,
test-company_Admin,EditCompanyUsersPermissionPlugin,
test-company-2_Admin,EditCompanyUsersPermissionPlugin,
restricted-company-1_Admin,EditCompanyUsersPermissionPlugin,
restricted-company-2_Admin,EditCompanyUsersPermissionPlugin,
Ottom_Admin,EditCompanyUsersPermissionPlugin,
Acme_Admin,DeleteCompanyRolesPermissionPlugin,
test-company_Admin,DeleteCompanyRolesPermissionPlugin,
trial-company_Admin,DeleteCompanyRolesPermissionPlugin,
proof-company_Admin,DeleteCompanyRolesPermissionPlugin,
BoB-Hotel-Jim_Admin,DeleteCompanyRolesPermissionPlugin,
BoB-Hotel-Kudamm_Admin,DeleteCompanyRolesPermissionPlugin,
BoB-Hotel-Mitte_Admin,DeleteCompanyRolesPermissionPlugin,
BoB-Regular_Admin,DeleteCompanyRolesPermissionPlugin,
test-company_Admin,DeleteCompanyRolesPermissionPlugin,
test-company-2_Admin,DeleteCompanyRolesPermissionPlugin,
restricted-company-1_Admin,DeleteCompanyRolesPermissionPlugin,
restricted-company-2_Admin,DeleteCompanyRolesPermissionPlugin,
Ottom_Admin,DeleteCompanyRolesPermissionPlugin,
Acme_Admin,CreateCompanyRolesPermissionPlugin,
test-company_Admin,CreateCompanyRolesPermissionPlugin,
trial-company_Admin,CreateCompanyRolesPermissionPlugin,
proof-company_Admin,CreateCompanyRolesPermissionPlugin,
BoB-Hotel-Jim_Admin,CreateCompanyRolesPermissionPlugin,
BoB-Hotel-Kudamm_Admin,CreateCompanyRolesPermissionPlugin,
BoB-Hotel-Mitte_Admin,CreateCompanyRolesPermissionPlugin,
BoB-Regular_Admin,CreateCompanyRolesPermissionPlugin,
test-company_Admin,CreateCompanyRolesPermissionPlugin,
test-company-2_Admin,CreateCompanyRolesPermissionPlugin,
restricted-company-1_Admin,CreateCompanyRolesPermissionPlugin,
restricted-company-2_Admin,CreateCompanyRolesPermissionPlugin,
Ottom_Admin,CreateCompanyRolesPermissionPlugin,
Acme_Admin,EditCompanyRolesPermissionPlugin,
test-company_Admin,EditCompanyRolesPermissionPlugin,
trial-company_Admin,EditCompanyRolesPermissionPlugin,
proof-company_Admin,EditCompanyRolesPermissionPlugin,
BoB-Hotel-Jim_Admin,EditCompanyRolesPermissionPlugin,
BoB-Hotel-Kudamm_Admin,EditCompanyRolesPermissionPlugin,
BoB-Hotel-Mitte_Admin,EditCompanyRolesPermissionPlugin,
BoB-Regular_Admin,EditCompanyRolesPermissionPlugin,
test-company_Admin,EditCompanyRolesPermissionPlugin,
test-company-2_Admin,EditCompanyRolesPermissionPlugin,
restricted-company-1_Admin,EditCompanyRolesPermissionPlugin,
restricted-company-2_Admin,EditCompanyRolesPermissionPlugin,
Ottom_Admin,EditCompanyRolesPermissionPlugin,
Acme_Admin,SeeCompanyRolesPermissionPlugin,
test-company_Admin,SeeCompanyRolesPermissionPlugin,
trial-company_Admin,SeeCompanyRolesPermissionPlugin,
proof-company_Admin,SeeCompanyRolesPermissionPlugin,
BoB-Hotel-Jim_Admin,SeeCompanyRolesPermissionPlugin,
BoB-Hotel-Kudamm_Admin,SeeCompanyRolesPermissionPlugin,
BoB-Hotel-Mitte_Admin,SeeCompanyRolesPermissionPlugin,
BoB-Regular_Admin,SeeCompanyRolesPermissionPlugin,
test-company_Admin,SeeCompanyRolesPermissionPlugin,
test-company-2_Admin,SeeCompanyRolesPermissionPlugin,
restricted-company-1_Admin,SeeCompanyRolesPermissionPlugin,
restricted-company-2_Admin,SeeCompanyRolesPermissionPlugin,
Ottom_Admin,SeeCompanyRolesPermissionPlugin,
Acme_Admin,DeleteCompanyUsersPermissionPlugin,
Acme_SSP_Admin,DownloadCompanyFilesPermissionPlugin,
Acme_SSP_Admin,ViewCompanySspInquiryPermissionPlugin,
Acme_SSP_Admin,ViewBusinessUnitSspInquiryPermissionPlugin,
Acme_SSP_Admin,CreateSspInquiryPermissionPlugin,
Acme_SSP_Admin,ViewDashboardPermissionPlugin,
Acme_SSP_Admin,ViewCompanySspAssetPermissionPlugin,
Acme_SSP_Admin,ViewBusinessUnitSspAssetPermissionPlugin,
Acme_SSP_Admin,CreateSspAssetPermissionPlugin,
Acme_SSP_Admin,UpdateSspAssetPermissionPlugin,
Acme_SSP_Admin,UnassignSspAssetPermissionPlugin,
Acme_SSP_Admin,ViewCompanyBusinessUnitFilesPermissionPlugin,
Acme_SSP_Admin,ViewCompanyFilesPermissionPlugin,
Acme_SSP_Admin,ViewCompanyUserFilesPermissionPlugin,
Acme_SSP_Buyer,DownloadCompanyFilesPermissionPlugin,
Acme_SSP_Buyer,ViewBusinessUnitSspInquiryPermissionPlugin,
Acme_SSP_Buyer,CreateSspInquiryPermissionPlugin,
Acme_SSP_Buyer,ViewDashboardPermissionPlugin,
Acme_SSP_Buyer,ViewBusinessUnitSspAssetPermissionPlugin,
Acme_SSP_Buyer,CreateSspAssetPermissionPlugin,
Acme_SSP_Buyer,UpdateSspAssetPermissionPlugin,
Acme_SSP_Buyer,UnassignSspAssetPermissionPlugin,
Acme_SSP_Buyer,ViewCompanyBusinessUnitFilesPermissionPlugin,
Acme_SSP_Buyer,ViewCompanyUserFilesPermissionPlugin,
Ottom_Admin,ViewBusinessUnitSspServicePermissionPlugin,
Acme_Admin,ViewBusinessUnitSspServicePermissionPlugin,
test-company_Admin,ViewBusinessUnitSspServicePermissionPlugin,
trial-company_Admin,ViewBusinessUnitSspServicePermissionPlugin,
proof-company_Admin,ViewBusinessUnitSspServicePermissionPlugin,
BoB-Hotel-Jim_Admin,ViewBusinessUnitSspServicePermissionPlugin,
BoB-Hotel-Kudamm_Admin,ViewBusinessUnitSspServicePermissionPlugin,
BoB-Hotel-Mitte_Admin,ViewBusinessUnitSspServicePermissionPlugin,
BoB-Regular_Admin,ViewBusinessUnitSspServicePermissionPlugin,
test-company-2_Admin,ViewBusinessUnitSspServicePermissionPlugin,
Acme_Buyer_With_Limit,ViewBusinessUnitSspServicePermissionPlugin,
Ottom_Admin,ViewCompanySspServicePermissionPlugin,
Acme_Admin,ViewCompanySspServicePermissionPlugin,
test-company_Admin,ViewCompanySspServicePermissionPlugin,
trial-company_Admin,ViewCompanySspServicePermissionPlugin,
proof-company_Admin,ViewCompanySspServicePermissionPlugin,
BoB-Hotel-Jim_Admin,ViewCompanySspServicePermissionPlugin,
BoB-Hotel-Kudamm_Admin,ViewCompanySspServicePermissionPlugin,
BoB-Hotel-Mitte_Admin,ViewCompanySspServicePermissionPlugin,
BoB-Regular_Admin,ViewCompanySspServicePermissionPlugin,
test-company-2_Admin,ViewCompanySspServicePermissionPlugin,
Acme_Buyer_With_Limit,ViewCompanySspServicePermissionPlugin,
