product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices,value_cost
offer36,DEFAULT,AT,CHF,5088,6037,,4226
offer36,DEFAULT,AT,EUR,4475,5307,,3715
offer37,DEFAULT,AT,CHF,153,166,,116
offer37,DEFAULT,AT,EUR,147,157,,110
offer38,DEFAULT,AT,CHF,225,250,,175
offer38,DEFAULT,AT,EUR,209,231,,162
offer39,DEFAULT,AT,CHF,246,275,,192
offer39,DEFAULT,AT,EUR,228,253,,177
offer40,DEFAULT,AT,CHF,237,264,,185
offer40,DEFAULT,AT,EUR,220,244,,171
offer41,DEFAULT,AT,CHF,237,264,,185
offer41,DEFAULT,AT,EUR,220,244,,171
offer42,DEFAULT,AT,CHF,256,288,,202
offer42,DEFAULT,AT,EUR,237,265,,186
offer43,DEFAULT,AT,CHF,390,447,,313
offer43,DEFAULT,AT,EUR,354,404,,283
offer44,DEFAULT,AT,CHF,843,987,,691
offer44,DEFAULT,AT,EUR,752,877,,614
offer45,DEFAULT,AT,CHF,453,521,,365
offer45,DEFAULT,AT,EUR,409,469,,328
offer46,DEFAULT,AT,CHF,308,350,,245
offer46,DEFAULT,AT,EUR,283,319,,223
offer47,DEFAULT,AT,CHF,390,447,,313
offer47,DEFAULT,AT,EUR,354,404,,283
offer48,DEFAULT,AT,CHF,390,447,,313
offer48,DEFAULT,AT,EUR,354,404,,283
offer49,DEFAULT,AT,CHF,400,459,,321
offer49,DEFAULT,AT,EUR,363,415,,290
offer50,DEFAULT,AT,CHF,185,202,,141
offer50,DEFAULT,AT,EUR,174,190,,133
offer51,DEFAULT,AT,CHF,1491,1756,,1229
offer51,DEFAULT,AT,EUR,1320,1553,,1087
offer52,DEFAULT,AT,CHF,2026,2394,,1676
offer52,DEFAULT,AT,EUR,1789,2111,,1478
offer53,DEFAULT,AT,CHF,5054,5998,,4199
offer53,DEFAULT,AT,EUR,4446,5273,,3691
offer54,DEFAULT,AT,CHF,967,1133,,793
offer54,DEFAULT,AT,EUR,860,1006,,704
offer55,DEFAULT,AT,CHF,586,679,,475
offer55,DEFAULT,AT,EUR,526,608,,426
offer56,DEFAULT,AT,CHF,833,973,,681
offer56,DEFAULT,AT,EUR,742,866,,606
offer57,DEFAULT,AT,CHF,1584,1867,,1307
offer57,DEFAULT,AT,EUR,1402,1650,,1155
offer58,DEFAULT,AT,CHF,1913,2258,,1581
offer58,DEFAULT,AT,EUR,1690,1993,,1395
offer59,DEFAULT,AT,CHF,2541,3005,,2104
offer59,DEFAULT,AT,EUR,2241,2648,,1854
offer60,DEFAULT,AT,CHF,2643,3128,,2190
offer60,DEFAULT,AT,EUR,2331,2755,,1928
offer61,DEFAULT,AT,CHF,3097,3667,,2567
offer61,DEFAULT,AT,EUR,2728,3229,,2260
offer62,DEFAULT,AT,CHF,2047,2418,,1693
offer62,DEFAULT,AT,EUR,1807,2133,,1493
offer63,DEFAULT,AT,CHF,2869,3397,,2378
offer63,DEFAULT,AT,EUR,2529,2992,,2094
offer64,DEFAULT,AT,CHF,35853,42647,,29853
offer64,DEFAULT,AT,EUR,31462,37422,,26195
offer64,ORIGINAL,AT,CHF,39825,47374,,33162
offer64,ORIGINAL,AT,EUR,34946,41569,,29098
offer65,DEFAULT,AT,CHF,14149,16820,,11774
offer65,DEFAULT,AT,EUR,12424,14766,,10336
offer65,ORIGINAL,AT,CHF,15710,18678,,13075
offer65,ORIGINAL,AT,EUR,13794,16397,,11478
offer66,DEFAULT,AT,CHF,6777,8048,,5634
offer66,DEFAULT,AT,EUR,5957,7071,,4950
offer67,DEFAULT,AT,CHF,12333,14658,,10261
offer67,DEFAULT,AT,EUR,10830,12870,,9009
offer68,DEFAULT,AT,CHF,17475,20778,,14545
offer68,DEFAULT,AT,EUR,15341,18239,,12767
offer68,ORIGINAL,AT,CHF,19405,23076,,16153
offer68,ORIGINAL,AT,EUR,17035,20254,,14178
offer69,DEFAULT,AT,CHF,3913,4638,,3247
offer69,DEFAULT,AT,EUR,3444,4081,,2857
offer69,ORIGINAL,AT,CHF,4336,5143,,3600
offer69,ORIGINAL,AT,EUR,3816,4523,,3166
offer70,DEFAULT,AT,CHF,839,981,,687
offer70,DEFAULT,AT,EUR,748,873,,611
offer71,DEFAULT,AT,CHF,936,1096,,767
offer71,DEFAULT,AT,EUR,834,973,,681
offer72,DEFAULT,AT,CHF,10875,12923,,9046
offer72,DEFAULT,AT,EUR,9552,11348,,7944
offer73,DEFAULT,AT,CHF,1299,1528,,1070
offer73,DEFAULT,AT,EUR,1152,1352,,946
offer74,DEFAULT,AT,CHF,2320,2744,,1921
offer74,DEFAULT,AT,EUR,2048,2419,,1693
offer75,DEFAULT,AT,CHF,799,933,,653
offer75,DEFAULT,AT,EUR,713,831,,582
offer76,DEFAULT,AT,CHF,8040,9550,,6685
offer76,DEFAULT,AT,EUR,7065,8389,,5872
offer77,DEFAULT,AT,CHF,1842,2173,,1521
offer77,DEFAULT,AT,EUR,1628,1919,,1343
offer78,DEFAULT,AT,CHF,17769,21129,,14790
offer78,DEFAULT,AT,EUR,15599,18546,,12982
offer79,DEFAULT,AT,CHF,31304,37234,,26064
offer79,DEFAULT,AT,EUR,27472,32673,,22871
offer80,DEFAULT,AT,CHF,7647,9082,,6357
offer80,DEFAULT,AT,EUR,6720,7979,,5585
offer81,DEFAULT,AT,CHF,18193,21633,,15143
offer81,DEFAULT,AT,EUR,15971,18988,,13292
offer82,DEFAULT,AT,CHF,497,572,,400
offer82,DEFAULT,AT,EUR,448,514,,360
offer83,DEFAULT,AT,CHF,1026,1203,,842
offer83,DEFAULT,AT,EUR,912,1067,,747
offer84,DEFAULT,AT,CHF,1008,1181,,827
offer84,DEFAULT,AT,EUR,896,1048,,734
offer85,DEFAULT,AT,CHF,623,722,,505
offer85,DEFAULT,AT,EUR,558,646,,452
offer86,DEFAULT,AT,CHF,685,797,,558
offer86,DEFAULT,AT,EUR,613,711,,498
offer87,DEFAULT,AT,CHF,1403,1651,,1156
offer87,DEFAULT,AT,EUR,1242,1460,,1022
offer88,DEFAULT,AT,CHF,1403,1651,,1156
offer88,DEFAULT,AT,EUR,1242,1460,,1022
offer89,DEFAULT,AT,CHF,762,889,,622
offer89,DEFAULT,AT,EUR,681,792,,554
offer90,DEFAULT,AT,CHF,400,459,,321
offer90,DEFAULT,AT,EUR,363,415,,290
offer91,DEFAULT,AT,CHF,494,570,,399
offer91,DEFAULT,AT,EUR,445,513,,359
offer92,DEFAULT,AT,CHF,730,851,,596
offer92,DEFAULT,AT,EUR,652,759,,531
offer93,DEFAULT,AT,CHF,2760,3268,,2288
offer93,DEFAULT,AT,EUR,2433,2878,,2015
offer94,DEFAULT,AT,CHF,1563,1843,,1290
offer94,DEFAULT,AT,EUR,1384,1629,,1140
offer95,DEFAULT,AT,CHF,49991,59471,,41630
offer95,DEFAULT,AT,EUR,43864,52180,,36526
offer96,DEFAULT,AT,CHF,181944,216496,,151547
offer96,DEFAULT,AT,EUR,159612,189921,,132945
offer97,DEFAULT,AT,CHF,12545,14912,,10438
offer97,DEFAULT,AT,EUR,11017,13092,,9164
offer97,ORIGINAL,AT,CHF,13928,16558,,11591
offer97,ORIGINAL,AT,EUR,12230,14536,,10175
offer98,DEFAULT,AT,CHF,7705,9152,,6406
offer98,DEFAULT,AT,EUR,6771,8040,,5628
offer98,ORIGINAL,AT,CHF,8550,10158,,7111
offer98,ORIGINAL,AT,EUR,7512,8923,,6246
offer99,DEFAULT,AT,CHF,2204,2605,,1823
offer99,DEFAULT,AT,EUR,1945,2298,,1609
offer100,DEFAULT,AT,CHF,997,1168,,818
offer100,DEFAULT,AT,EUR,887,1037,,726
offer101,DEFAULT,AT,CHF,623,722,,505
offer101,DEFAULT,AT,EUR,558,646,,452
offer102,DEFAULT,AT,CHF,478,551,,386
offer102,DEFAULT,AT,EUR,432,495,,346
offer103,DEFAULT,AT,CHF,954,1118,,783
offer103,DEFAULT,AT,EUR,849,992,,694
offer104,DEFAULT,AT,CHF,478,551,,386
offer104,DEFAULT,AT,EUR,432,495,,346
offer105,DEFAULT,AT,CHF,1043,1224,,857
offer105,DEFAULT,AT,EUR,927,1085,,760
offer106,DEFAULT,AT,CHF,1043,1224,,857
offer106,DEFAULT,AT,EUR,927,1085,,760
offer107,DEFAULT,AT,CHF,1170,1374,,962
offer107,DEFAULT,AT,EUR,1038,1217,,852
offer108,DEFAULT,AT,CHF,3414,4044,,2831
offer108,DEFAULT,AT,EUR,3006,3559,,2491
offer109,DEFAULT,AT,CHF,1393,1640,,1148
offer109,DEFAULT,AT,EUR,1235,1451,,1016
offer110,DEFAULT,AT,CHF,1000,1172,,820
offer110,DEFAULT,AT,EUR,889,1040,,728
offer111,DEFAULT,AT,CHF,604,701,,491
offer111,DEFAULT,AT,EUR,542,627,,439
offer112,DEFAULT,AT,CHF,23114,27489,,19242
offer112,DEFAULT,AT,EUR,20288,24125,,16888
offer113,DEFAULT,AT,CHF,131641,156636,,109645
offer113,DEFAULT,AT,EUR,115486,137411,,96188
offer114,DEFAULT,AT,CHF,3133,3711,,2598
offer114,DEFAULT,AT,EUR,2760,3268,,2288
offer115,DEFAULT,AT,CHF,1121,1315,,920
offer115,DEFAULT,AT,EUR,995,1166,,816
offer116,DEFAULT,AT,CHF,3061,3626,,2538
offer116,DEFAULT,AT,EUR,2698,3192,,2234
offer117,DEFAULT,AT,CHF,11391,13537,,9476
offer117,DEFAULT,AT,EUR,10004,11887,,8321
offer118,DEFAULT,AT,CHF,79557,94655,,66258
offer118,DEFAULT,AT,EUR,69799,83043,,58130
offer119,DEFAULT,AT,CHF,82533,98197,,68738
offer119,DEFAULT,AT,EUR,72409,86150,,60305
offer120,DEFAULT,AT,CHF,108988,129678,,90775
offer120,DEFAULT,AT,EUR,95616,113765,,79636
offer121,DEFAULT,AT,CHF,5758,6835,,4784
offer121,DEFAULT,AT,EUR,5063,6007,,4205
offer122,DEFAULT,AT,CHF,565,654,,458
offer122,DEFAULT,AT,EUR,508,586,,410
offer123,DEFAULT,AT,CHF,360,410,,287
offer123,DEFAULT,AT,EUR,327,372,,260
offer124,DEFAULT,AT,CHF,700,815,,570
offer124,DEFAULT,AT,EUR,626,726,,508
offer125,DEFAULT,AT,CHF,2070,2444,,1711
offer125,DEFAULT,AT,EUR,1827,2156,,1509
offer126,DEFAULT,AT,CHF,1531,1805,,1264
offer126,DEFAULT,AT,EUR,1355,1595,,1116
offer127,DEFAULT,AT,CHF,2289,2707,,1895
offer127,DEFAULT,AT,EUR,2020,2387,,1671
offer128,DEFAULT,AT,CHF,2457,2906,,2034
offer128,DEFAULT,AT,EUR,2167,2561,,1793
offer129,DEFAULT,AT,CHF,8367,9939,,6957
offer129,DEFAULT,AT,EUR,7352,8731,,6112
offer130,DEFAULT,AT,CHF,2251,2660,,1862
offer130,DEFAULT,AT,EUR,1987,2346,,1642
offer131,DEFAULT,AT,CHF,1215,1427,,999
offer131,DEFAULT,AT,EUR,1078,1264,,885
offer132,DEFAULT,AT,CHF,487,562,,393
offer132,DEFAULT,AT,EUR,439,505,,354
offer133,DEFAULT,AT,CHF,317,360,,252
offer133,DEFAULT,AT,EUR,290,327,,229
offer134,DEFAULT,AT,CHF,864,1010,,707
offer134,DEFAULT,AT,EUR,770,898,,629
offer135,DEFAULT,AT,CHF,586,680,,476
offer135,DEFAULT,AT,EUR,526,608,,426
offer136,DEFAULT,AT,CHF,658,765,,536
offer136,DEFAULT,AT,EUR,589,684,,479
offer137,DEFAULT,AT,CHF,576,668,,468
offer137,DEFAULT,AT,EUR,517,598,,419
offer138,DEFAULT,AT,CHF,658,765,,536
offer138,DEFAULT,AT,EUR,589,684,,479
offer139,DEFAULT,AT,CHF,380,434,,304
offer139,DEFAULT,AT,EUR,345,393,,275
offer140,DEFAULT,AT,CHF,801,935,,654
offer140,DEFAULT,AT,EUR,715,833,,583
offer141,DEFAULT,AT,CHF,541,626,,438
offer141,DEFAULT,AT,EUR,487,561,,393
offer142,DEFAULT,AT,CHF,424,487,,341
offer142,DEFAULT,AT,EUR,384,439,,307
offer143,DEFAULT,AT,CHF,586,680,,476
offer143,DEFAULT,AT,EUR,526,608,,426
offer144,DEFAULT,AT,CHF,317,360,,252
offer144,DEFAULT,AT,EUR,290,327,,229
offer145,DEFAULT,AT,CHF,452,520,,364
offer145,DEFAULT,AT,EUR,408,468,,328
offer146,DEFAULT,AT,CHF,452,520,,364
offer146,DEFAULT,AT,EUR,408,468,,328
offer147,DEFAULT,AT,CHF,452,520,,364
offer147,DEFAULT,AT,EUR,408,468,,328
offer148,DEFAULT,AT,CHF,452,520,,364
offer148,DEFAULT,AT,EUR,408,468,,328
offer149,DEFAULT,AT,CHF,497,572,,400
offer149,DEFAULT,AT,EUR,448,514,,360
offer150,DEFAULT,AT,CHF,1170,1374,,962
offer150,DEFAULT,AT,EUR,1038,1217,,852
offer151,DEFAULT,AT,CHF,341,387,,271
offer151,DEFAULT,AT,EUR,311,352,,246
offer152,DEFAULT,AT,CHF,1325,1558,,1091
offer152,DEFAULT,AT,EUR,1178,1382,,967
offer153,DEFAULT,AT,CHF,2555,3021,,2115
offer153,DEFAULT,AT,EUR,2261,2669,,1868
offer154,DEFAULT,AT,CHF,3785,4484,,3139
offer154,DEFAULT,AT,EUR,3344,3956,,2769
offer155,DEFAULT,AT,CHF,332,377,,264
offer155,DEFAULT,AT,EUR,304,342,,239
offer156,DEFAULT,AT,CHF,3409,4038,,2827
offer156,DEFAULT,AT,EUR,3002,3554,,2488
offer157,DEFAULT,AT,CHF,905,1059,,741
offer157,DEFAULT,AT,EUR,806,941,,659
offer158,DEFAULT,AT,CHF,437,501,,351
offer158,DEFAULT,AT,EUR,395,452,,316
offer159,DEFAULT,AT,CHF,137,146,,102
offer159,DEFAULT,AT,EUR,133,140,,98
offer160,DEFAULT,AT,CHF,1240,1458,,1021
offer160,DEFAULT,AT,EUR,1100,1291,,904
offer161,DEFAULT,AT,CHF,284,320,,224
offer161,DEFAULT,AT,EUR,261,292,,204
offer162,DEFAULT,AT,CHF,184,201,,141
offer162,DEFAULT,AT,EUR,173,189,,132
offer163,DEFAULT,AT,CHF,193,213,,149
offer163,DEFAULT,AT,EUR,182,199,,139
offer163,ORIGINAL,AT,CHF,204,226,,158
offer163,ORIGINAL,AT,EUR,191,210,,147
offer164,DEFAULT,AT,CHF,189,207,,145
offer164,DEFAULT,AT,EUR,177,193,,135
offer165,DEFAULT,AT,CHF,3755,4450,,3115
offer165,DEFAULT,AT,EUR,3306,3915,,2740
offer166,DEFAULT,AT,CHF,894,1047,,733
offer166,DEFAULT,AT,EUR,797,931,,652
offer167,DEFAULT,AT,CHF,628,729,,510
offer167,DEFAULT,AT,EUR,563,651,,456
offer168,DEFAULT,AT,CHF,246,275,,192
offer168,DEFAULT,AT,EUR,228,253,,177
offer169,DEFAULT,AT,CHF,246,275,,192
offer169,DEFAULT,AT,EUR,228,253,,177
offer170,DEFAULT,AT,CHF,256,288,,202
offer170,DEFAULT,AT,EUR,237,265,,186
offer171,DEFAULT,AT,CHF,261,292,,204
offer171,DEFAULT,AT,EUR,241,268,,188
offer172,DEFAULT,AT,CHF,261,292,,204
offer172,DEFAULT,AT,EUR,241,268,,188
offer173,DEFAULT,AT,CHF,390,447,,313
offer173,DEFAULT,AT,EUR,354,404,,283
offer174,DEFAULT,AT,CHF,422,484,,339
offer174,DEFAULT,AT,EUR,382,437,,306
offer175,DEFAULT,AT,CHF,350,399,,279
offer175,DEFAULT,AT,EUR,319,361,,253
offer176,DEFAULT,AT,CHF,525,607,,425
offer176,DEFAULT,AT,EUR,473,544,,381
offer177,DEFAULT,AT,CHF,741,864,,605
offer177,DEFAULT,AT,EUR,662,770,,539
offer178,DEFAULT,AT,CHF,298,337,,236
offer178,DEFAULT,AT,EUR,273,307,,215
offer179,DEFAULT,AT,CHF,350,399,,279
offer179,DEFAULT,AT,EUR,319,361,,253
offer180,DEFAULT,AT,CHF,191,209,,146
offer180,DEFAULT,AT,EUR,180,196,,137
offer181,DEFAULT,AT,CHF,1717,2026,,1418
offer181,DEFAULT,AT,EUR,1519,1789,,1252
offer182,DEFAULT,AT,CHF,1863,2200,,1540
offer182,DEFAULT,AT,EUR,1647,1941,,1359
offer183,DEFAULT,AT,CHF,2529,2993,,2095
offer183,DEFAULT,AT,EUR,2231,2638,,1847
offer184,DEFAULT,AT,CHF,3239,3837,,2686
offer184,DEFAULT,AT,EUR,2853,3378,,2365
offer185,DEFAULT,AT,CHF,4010,4755,,3328
offer185,DEFAULT,AT,EUR,3530,4183,,2928
offer186,DEFAULT,AT,CHF,2437,2883,,2018
offer186,DEFAULT,AT,EUR,2150,2541,,1779
offer187,DEFAULT,AT,CHF,525,607,,425
offer187,DEFAULT,AT,EUR,473,544,,381
offer188,DEFAULT,AT,CHF,1121,1317,,922
offer188,DEFAULT,AT,EUR,995,1167,,817
offer189,DEFAULT,AT,CHF,1944,2296,,1607
offer189,DEFAULT,AT,EUR,1717,2026,,1418
offer190,DEFAULT,AT,CHF,1343,1580,,1106
offer190,DEFAULT,AT,EUR,1190,1398,,979
offer191,DEFAULT,AT,CHF,679,789,,552
offer191,DEFAULT,AT,EUR,608,704,,493
offer192,DEFAULT,AT,CHF,1766,2083,,1458
offer192,DEFAULT,AT,EUR,1560,1839,,1287
offer193,DEFAULT,AT,CHF,1705,2011,,1408
offer193,DEFAULT,AT,EUR,1507,1776,,1243
offer194,DEFAULT,AT,CHF,38152,45384,,31769
offer194,DEFAULT,AT,EUR,33479,39823,,27876
offer195,DEFAULT,AT,CHF,31304,37234,,26064
offer195,DEFAULT,AT,EUR,27472,32673,,22871
offer195,ORIGINAL,AT,CHF,34771,41360,,28952
offer195,ORIGINAL,AT,EUR,30514,36292,,25404
offer196,DEFAULT,AT,CHF,54073,64329,,45030
offer196,DEFAULT,AT,EUR,47444,56441,,39509
offer197,DEFAULT,AT,CHF,3145,3724,,2607
offer197,DEFAULT,AT,EUR,2771,3279,,2295
offer198,DEFAULT,AT,CHF,30603,36401,,25481
offer198,DEFAULT,AT,EUR,26857,31942,,22359
offer199,DEFAULT,AT,CHF,20399,24258,,16981
offer199,DEFAULT,AT,EUR,17906,21291,,14904
offer200,DEFAULT,AT,CHF,26522,31543,,22080
offer200,DEFAULT,AT,EUR,23276,27682,,19377
offer201,DEFAULT,AT,CHF,3655,4331,,3032
offer201,DEFAULT,AT,EUR,3218,3811,,2668
offer202,DEFAULT,AT,CHF,5696,6760,,4732
offer202,DEFAULT,AT,EUR,5008,5942,,4159
offer203,DEFAULT,AT,CHF,35705,42472,,29730
offer203,DEFAULT,AT,EUR,31332,37268,,26088
offer203,ORIGINAL,AT,CHF,39662,47180,,33026
offer203,ORIGINAL,AT,EUR,34803,41398,,28979
offer204,DEFAULT,AT,CHF,83961,99897,,69928
offer204,DEFAULT,AT,EUR,73663,87641,,61349
offer204,ORIGINAL,AT,CHF,93280,110985,,77690
offer204,ORIGINAL,AT,EUR,81836,97368,,68158
offer205,DEFAULT,AT,CHF,96372,114665,,80266
offer205,DEFAULT,AT,EUR,84550,100596,,70417
offer205,ORIGINAL,AT,CHF,107069,127395,,89176
offer205,ORIGINAL,AT,EUR,93933,111762,,78233
offer206,DEFAULT,AT,CHF,10500,12477,,8734
offer206,DEFAULT,AT,EUR,9222,10957,,7670
offer207,DEFAULT,AT,CHF,10500,12477,,8734
offer207,DEFAULT,AT,EUR,9222,10957,,7670
offer208,DEFAULT,AT,CHF,1012544,1204909,,843436
offer208,DEFAULT,AT,EUR,888209,1056950,,739865
offer209,DEFAULT,AT,CHF,910276,1083211,,758248
offer209,DEFAULT,AT,EUR,798500,950197,,665138
offer210,DEFAULT,AT,CHF,838689,998021,,698615
offer210,DEFAULT,AT,EUR,735704,875469,,612828
offer211,DEFAULT,AT,CHF,1181,1388,,972
offer211,DEFAULT,AT,EUR,1048,1230,,861
offer212,DEFAULT,AT,CHF,658,765,,536
offer212,DEFAULT,AT,EUR,589,684,,479
offer213,DEFAULT,AT,CHF,658,765,,536
offer213,DEFAULT,AT,EUR,589,684,,479
offer214,DEFAULT,AT,CHF,658,765,,536
offer214,DEFAULT,AT,EUR,589,684,,479
offer215,DEFAULT,AT,CHF,658,765,,536
offer215,DEFAULT,AT,EUR,589,684,,479
offer216,DEFAULT,AT,CHF,658,765,,536
offer216,DEFAULT,AT,EUR,589,684,,479
offer217,DEFAULT,AT,CHF,658,765,,536
offer217,DEFAULT,AT,EUR,589,684,,479
offer218,DEFAULT,AT,CHF,658,765,,536
offer218,DEFAULT,AT,EUR,589,684,,479
offer219,DEFAULT,AT,CHF,658,765,,536
offer219,DEFAULT,AT,EUR,589,684,,479
offer220,DEFAULT,AT,CHF,189,206,,144
offer220,DEFAULT,AT,EUR,177,192,,134
offer220,ORIGINAL,AT,CHF,199,218,,153
offer220,ORIGINAL,AT,EUR,186,203,,142
offer221,DEFAULT,AT,CHF,189,206,,144
offer221,DEFAULT,AT,EUR,177,192,,134
offer222,DEFAULT,AT,CHF,189,206,,144
offer222,DEFAULT,AT,EUR,177,192,,134
offer223,DEFAULT,AT,CHF,189,206,,144
offer223,DEFAULT,AT,EUR,177,192,,134
offer223,ORIGINAL,AT,CHF,199,218,,153
offer223,ORIGINAL,AT,EUR,186,203,,142
offer224,DEFAULT,AT,CHF,503,582,,407
offer224,DEFAULT,AT,EUR,454,522,,365
offer225,DEFAULT,AT,CHF,503,582,,407
offer225,DEFAULT,AT,EUR,454,522,,365
offer226,DEFAULT,AT,CHF,503,582,,407
offer226,DEFAULT,AT,EUR,454,522,,365
offer227,DEFAULT,AT,CHF,503,582,,407
offer227,DEFAULT,AT,EUR,454,522,,365
offer228,DEFAULT,AT,CHF,24481,29115,,20380
offer228,DEFAULT,AT,EUR,21487,25552,,17886
offer229,DEFAULT,AT,CHF,19604,23311,,16318
offer229,DEFAULT,AT,EUR,17208,20460,,14322
offer230,DEFAULT,AT,CHF,341,388,,272
offer230,DEFAULT,AT,EUR,310,352,,246
offer231,DEFAULT,AT,CHF,379,435,,304
offer231,DEFAULT,AT,EUR,344,393,,275
offer232,DEFAULT,AT,CHF,505,585,,410
offer232,DEFAULT,AT,EUR,455,525,,368
offer232,ORIGINAL,AT,CHF,551,640,,448
offer232,ORIGINAL,AT,EUR,495,573,,401
offer233,DEFAULT,AT,CHF,402,461,,323
offer233,DEFAULT,AT,EUR,364,416,,291
offer234,DEFAULT,AT,CHF,845,988,,692
offer234,DEFAULT,AT,EUR,752,878,,615
offer235,DEFAULT,AT,CHF,684,796,,557
offer235,DEFAULT,AT,EUR,611,710,,497
offer236,DEFAULT,AT,CHF,308,351,,246
offer236,DEFAULT,AT,EUR,282,319,,223
offer237,DEFAULT,AT,CHF,2637,3122,,2185
offer237,DEFAULT,AT,EUR,2325,2750,,1925
offer237,ORIGINAL,AT,CHF,2920,3458,,2421
offer237,ORIGINAL,AT,EUR,2574,3045,,2132
offer238,DEFAULT,AT,CHF,3682,4365,,3056
offer238,DEFAULT,AT,EUR,3241,3841,,2689
offer239,DEFAULT,AT,CHF,1536,1810,,1267
offer239,DEFAULT,AT,EUR,1359,1600,,1120
offer240,DEFAULT,AT,CHF,1021,1197,,838
offer240,DEFAULT,AT,EUR,907,1062,,743
offer241,DEFAULT,AT,CHF,244,274,,192
offer241,DEFAULT,AT,EUR,225,252,,176
offer242,DEFAULT,AT,CHF,722,842,,589
offer242,DEFAULT,AT,EUR,645,750,,525
